scenarios
Program,Stage,Phase,Scenario,Mission Code,Mission Description
1,1,1,1,1-1-1,"Training Habits, About Your Airplane, Taxiing and Basic Attitude Flying - (1.0h LB)"
1,1,1,2,1-1-2,Familiarization with the Airplane - I - (1.0h SE/FSTD)
1,1,1,3,1-1-3,Familiarization with the Airplane - II - (1.0h SE/FSTD)
1,1,1,4,1-1-4,Your First Flight - (1.5h DUAL)
1,1,1,5,1-1-5,"Airworthiness, Preflight Inspection, Use of Checklists and Trimming - (1.0h LB)"
1,1,1,6,1-1-6,Engine Starting & Trimming - (1.0h SE/FSTD)
1,1,1,7,1-1-7,Before Takeoff Actions and Turning - (1.0h SE/FSTD)
1,1,1,8,1-1-8,"Trimming, Coordination and Turning - (1.5h DUAL)"
1,1,1,9,1-1-9,"Climbing, Descending, Climbing/Descending Turns - (1.0h LB)"
1,1,1,10,1-1-10,"Climbs/Descends, Climbing/Descending Turns - (1.0h SE/FSTD)"
1,1,1,11,1-1-11,"Climbs/Descends, Climbing/Descending Turns - (1.5h DUAL)"
1,1,1,12,1-1-12,Phase 1 - Progress Check - (1.5h DUAL)
1,1,2,1,1-2-1,"Taking Off, Maneuvering in Slow Flight - (1.0h LB)"
1,1,2,2,1-2-2,Taking Off - (1.0h SE/FSTD)
1,1,2,3,1-2-3,Maneuvering in Slow Flight - (1.0h SE/FSTD)
1,1,2,4,1-2-4,Your First Takeoff and Slow Flight - (1.5h DUAL)
1,1,2,5,1-2-5,Stalls and Steep Turns - (1.0h LB)
1,1,2,6,1-2-6,"Recovering from Stalls, practicing Steep Turns - (1.0h SE/FSTD)"
1,1,2,7,1-2-7,"Correcting for wind in flight, recovering from stalls - (1.5h DUAL)"
1,1,2,8,1-2-8,Stall Recovery Practice and Steep Turns - (1.5h DUAL)
1,1,2,9,1-2-9,Ground Reference Maneuvers - (1.0h LB)
1,1,2,10,1-2-10,Ground Reference Maneuvers - (1.0h SE/FSTD)
1,1,2,11,1-2-11,Ground Reference Maneuvers - (1.5h DUAL)
1,1,2,12,1-2-12,Phase 2 - Progress Check - (2.0h DUAL)
1,1,3,1,1-3-1,Approaches and Landings - (1.0h LB)
1,1,3,2,1-3-2,Approaches and Landings - (1.0h SE/FSTD)
1,1,3,3,1-3-3,Crosswind Approaches and Landings - (1.0h SE/FSTD)
1,1,3,4,1-3-4,Pattern Work (Non-Towered Airport) - (1.0h SE/FSTD)
1,1,3,5,1-3-5,Your first Touch & Go session - (1.0h DUAL)
1,1,3,6,1-3-6,Takeoff and landing consolidation - (4.0h DUAL)
1,1,3,7,1-3-7,"Meteorology, Performance, Emergency Equipment, Towered Airport Touch and Go Exercise - (1.0h LB)"
1,1,3,8,1-3-8,Pattern Work (Towered Airport) - (1.0h SE/FSTD)
