#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-3B",software_version="9.52",system_id="60002D0680804",unit="PFD1",airframe_hours="14.3",engine_hours="25.8"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-23,09:28:32,16:28:32,-07:00,+33.6363709,-116.1608458,-120,3D-,232129.9,0.0,,0,0,0.10,,65,904,10,,,,,,,,,,,,254,,,,29.93,123.000,,116.200,VOR2,,,,162,167,,-0.25,,,,,,,Powerup,,,,,,,,,,,,-10.8,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23,09:28:33,16:28:33,-07:00,+33.6363723,-116.1608476,-123,3D-,232130.6,0.0,,0,0,0.07,,46,465,10,-114,-106,4,14.4,15,,,0.013,1.000,-0.162,,254,,,,29.93,123.000,,116.200,VOR2,,TRM,,162,167,,-0.47,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A28 A28 *,080197FF N11 D33,,,3,2,L+,,,29.9,0,1,168,7,0.0,0.1,6,150,165,13.2,-5,120,125,,
2026-06-23,09:28:34,16:28:34,-07:00,+33.6363726,-116.1608520,-124,3D-,232131.7,0.0,,0,0,0.05,,36,288,10,-114,-106,4,14.4,15,,,0.014,0.999,-0.160,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A31 A31 *,080197FF N16 D45,,,5,5,,,,29.9,0,1,168,7,0.0,0.1,6,150,165,13.2,-5,120,125,,
2026-06-23,09:28:35,16:28:35,-07:00,+33.6363728,-116.1608545,-125,3D-,232132.7,0.0,,0,0,0.03,,31,209,10,-114,-106,4,14.4,15,,,0.012,0.998,-0.159,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A34 A34 *,080197FF N20 D57,,,5,6,,,,29.9,0,1,168,7,0.0,0.1,6,150,165,13.2,-6,120,125,OIL PRESS / AMPS,
2026-06-23,09:28:36,16:28:36,-07:00,+33.6363732,-116.1608571,-125,3D-,232133.6,0.0,,0,0,0.03,,27,164,10,-114,-106,6,14.5,15,,,0.016,0.998,-0.156,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.49,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A37 A37 *,080197FF N23 D67,,,4,4,L+,1200,ALT,29.9,0,1,168,7,0.0,0.1,6,150,165,13.2,-6,120,125,OIL PRESS / AMPS,
2026-06-23,09:28:37,16:28:37,-07:00,+33.6363731,-116.1608583,-125,3D-,232134.6,0.0,,0,0,0.02,,25,136,10,-114,-106,5,14.5,15,,,0.015,0.998,-0.150,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.49,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A40 A40 *,080197FF N27 D76,,,3,3,,1200,ALT,29.9,0,1,168,7,0.0,0.1,6,149,165,13.2,-6,120,125,OIL PRESS / AMPS,
2026-06-23,09:28:38,16:28:38,-07:00,+33.6363725,-116.1608619,-125,3D-,232135.6,0.0,,0,0,0.02,,24,116,10,-114,-106,4,14.5,15,,,0.018,0.998,-0.137,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.49,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A43 A43 *,080197FF N31 D86,,,4,3,,1200,ALT,29.9,0,1,168,7,0.0,0.1,6,148,165,13.2,-6,120,125,OIL PRESS / AMPS,
2026-06-23,09:28:39,16:28:39,-07:00,+33.6363723,-116.1608637,-125,3D-,232136.6,0.0,,0,0,0.02,,22,100,10,-114,-106,3,14.5,15,,,0.016,0.998,-0.119,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.49,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2320,,,,081101F8 A46 A46 *,080197FF N35 D98,,,3,3,,1200,ALT,29.9,0,1,168,7,0.0,0.1,6,147,165,13.2,-6,120,125,OIL PRESS / AMPS,
2026-06-23,09:28:40,16:28:40,-07:00,+33.6363722,-116.1608659,-125,3D-,232137.6,0.0,,0,0,0.01,,21,88,10,-114,-106,1,14.5,15,,,0.016,0.997,-0.103,,254,,,,29.93,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.49,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2319,,,,081101F8 A49 A49 *,080197FF N39 D99,,,4,4,,1200,ALT,29.9,0,1,168,7,0.0,0.1,6,145,165,13.2,-6,120,125,OIL PRESS / AMPS,
