#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="701.5",engine_hours="390.4",flightstream_header="60002CE0956A8_20260627_143710"
#Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-27,14:37:10,22:37:10,-08:00,+33.6362502,-116.1610559,-166,3D,599847.6,0.0,,0,0,0.04,,31,217,7,122,-46,3,11.0,12,,,0.008,1.003,-0.609,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.49,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2926,,,,040001F8 A38 A38 *,480117FF N25 D62,,,2,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:10,22:37:10,-08:00,+33.6362515,-116.1610559,-165,3D,599848.2,0.0,,0,0,0.03,,29,196,7,122,-46,4,11.0,12,,,0.006,1.002,-0.597,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.49,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.7,2927,,,,040001F8 A40 A40 *,480117FF N27 D69,,,3,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:11,22:37:11,-08:00,+33.6362530,-116.1610570,-163,3D,599849.2,0.0,,0,0,0.03,,28,172,7,122,-46,4,11.0,12,,,0.005,1.001,-0.586,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2927,,,,040001F8 A43 A43 *,480117FF N31 D79,,,2,3,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:12,22:37:12,-08:00,+33.6362546,-116.1610579,-161,3D,599850.2,0.0,,0,0,0.02,,26,147,7,122,-46,6,11.3,12,,,0.005,1.002,-0.575,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2929,,,,040001F8 A46 A46 *,480117FF N35 D88,,,3,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:13,22:37:13,-08:00,+33.6362570,-116.1610588,-160,3D,599851.2,0.0,,0,0,0.02,,25,132,7,122,-46,4,12.0,13,,,0.005,1.001,-0.552,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2929,,,,040001F8 A49 A49 *,480117FF N39 D98,,,3,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:14,22:37:14,-08:00,+33.6362587,-116.1610591,-160,3D,599852.2,0.0,,0,0,0.01,,24,119,7,122,-46,2,11.2,12,,,0.006,1.001,-0.521,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2930,,,,040001F8 A52 A52 *,480117FF N43 D99,,,12,11,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:15,22:37:15,-08:00,+33.6362602,-116.1610597,-159,3D,599853.2,0.0,,0,0,0.01,,23,109,7,123,-46,4,12.0,12,,,0.004,1.000,-0.493,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2931,,,,040001F8 A55 A55 *,480117FF N47 D99,,,9,10,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:16,22:37:16,-08:00,+33.6362610,-116.1610601,-159,3D,599854.2,0.0,,0,0,0.01,,22,100,7,123,-45,7,10.9,11,,,0.004,1.002,-0.474,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2933,,,,040001F8 A58 A58 *,480117FF N51 D99,,,5,6,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:17,22:37:17,-08:00,+33.6362612,-116.1610608,-160,3D,599855.2,0.0,,0,0,0.00,,22,97,7,123,-45,7,10.8,11,,,0.002,1.002,-0.477,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2933,,,,040001F8 A59 A59 *,480117FF N55 D99,,,6,5,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:18,22:37:18,-08:00,+33.6362618,-116.1610612,-160,3D,599856.2,0.0,,0,0,0.00,,21,93,6,123,-45,4,10.8,11,,,0.004,1.001,-0.504,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2934,,,,040001F8 A62 A62 *,480117FF N59 D99,,,4,5,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:19,22:37:19,-08:00,+33.6362624,-116.1610618,-160,3D,599857.2,0.0,,0,0,0.00,,21,89,6,123,-45,0,10.3,11,,,0.004,1.002,-0.545,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2934,,,,040001F8 A65 A65 *,480117FF N63 N2,,,3,4,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:20,22:37:20,-08:00,+33.6362629,-116.1610624,-160,3D,599858.2,0.0,,0,0,0.00,,21,87,7,122,-45,-2,11.1,12,,,0.004,1.002,-0.592,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2934,,,,040001F8 A68 A68 *,480117FF N67 N5,,,3,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:21,22:37:21,-08:00,+33.6362631,-116.1610630,-161,3D,599859.2,0.0,,0,0,0.00,,21,85,7,123,-46,-3,10.8,11,,,0.004,1.002,-0.633,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2935,,,,040001F8 A71 A71 *,480117FF N71 N8,,,2,3,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:22,22:37:22,-08:00,+33.6362634,-116.1610638,-161,3D,599860.2,0.0,,0,0,-0.00,,20,83,7,122,-46,-2,10.9,11,,,0.005,1.001,-0.679,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2935,,,,040001F8 A74 A74 *,480117FF N75 N11,,,2,3,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
2026-06-27,14:37:23,22:37:23,-08:00,+33.6362633,-116.1610646,-161,3D,599861.2,0.0,,0,0,-0.00,,20,81,7,122,-46,-3,10.7,11,,,0.004,1.002,-0.702,,171,,,,29.74,123.000,121.500,116.200,VOR2,,TRM,,160,345,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,39.7,2935,,,,040001F8 A77 A77 *,480117FF N79 N15,,,3,2,,1200,ALT,29.7,0,2,118,8,0.0,0.0,-8,111,118,13.2,-6,100,100,OIL PRESS,
