#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="661.5",engine_hours="375.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-05,06:00:27,14:00:27,-08:00,+33.6364040,-116.1611918,-16,3D-,482444.8,0.0,,0,0,0.01,,49,319,8,44,-208,1,9.0,9,,,0.007,1.001,-0.658,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.69,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.7,1298,,,,081101F8 A32 A32 *,080197FF N19 D43,,,3,3,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:27,14:00:27,-08:00,+33.6364040,-116.1611918,-16,3D-,482444.8,0.0,,0,0,0.01,,49,319,8,44,-208,1,9.0,9,,,0.007,1.001,-0.658,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.69,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.7,1298,,,,081101F8 A32 A32 *,080197FF N19 D43,,,3,3,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:27,14:00:27,-08:00,+33.6364070,-116.1611945,-19,3D-,482445.0,0.0,,0,0,0.00,,46,293,8,44,-208,2,9.0,9,,,0.007,1.001,-0.642,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.69,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A33 A33 *,080197FF N19 D45,,,2,3,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:28,14:00:28,-08:00,+33.6364131,-116.1612014,-25,3D-,482446.1,0.0,,0,0,0.00,,38,238,8,44,-208,5,9.1,9,,,0.007,1.003,-0.572,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A37 A37 *,080197FF N24 D55,,,3,2,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:29,14:00:29,-08:00,+33.6364185,-116.1612053,-31,3D-,482447.0,0.0,,0,0,0.00,,33,199,8,44,-208,4,9.0,9,,,0.006,1.001,-0.532,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,PFT,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A39 A39 *,080197FF N27 D62,,,11,10,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:30,14:00:30,-08:00,+33.6364211,-116.1612084,-34,3D-,482448.0,0.0,,0,0,0.00,,30,171,8,44,-208,5,9.0,9,,,0.007,1.000,-0.550,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,PFT,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A42 A42 *,080197FF N31 D71,,,3,8,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:31,14:00:31,-08:00,+33.6364229,-116.1612118,-37,3D-,482449.0,0.0,,0,0,0.00,,28,151,8,44,-208,2,8.9,9,,,0.009,0.999,-0.617,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,PFT,,,,,,,,,,,,-10.8,25.7,1298,,,,081101F8 A45 A45 *,080197FF N35 D81,,,5,3,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:32,14:00:32,-08:00,+33.6364210,-116.1611822,-36,3D-,482450.1,0.0,,0,0,0.00,,26,137,7,44,-208,2,8.9,9,,,0.007,1.003,-0.704,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,PFT,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A49 A49 *,080197FF N39 D91,,,5,5,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
2026-06-05,06:00:33,14:00:33,-08:00,+33.6364226,-116.1611835,-37,3D-,482451.1,0.0,,0,0,0.00,,24,122,7,44,-207,3,9.0,9,,,0.008,1.000,-0.776,,170,,,,29.65,121.500,131.425,116.200,VOR2,,TRM,,160,167,,-0.70,,,,,,,PFT,,,,,,,,,,,,-10.8,25.7,1299,,,,081101F8 A52 A52 *,080197FF N43 D99,,,4,3,,1200,ALT,29.6,0,2,81,14,0.0,0.0,-3,81,82,13.3,-6,70,70,OIL PRESS,
