#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="810.4",engine_hours="458.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-29,12:21:33,19:21:33,-07:00,+33.6363395,-116.1610361,-82,3D,328910.8,0.0,,0,0,0.01,,28,158,9,79,-71,5,11.5,12,,,0.003,1.000,-0.217,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.8,3106,,,,040001F8 A37 A37 *,480117FF N24 D59,,,3,3,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,350,OIL PRESS,
2026-07-29,12:21:33,19:21:33,-07:00,+33.6363395,-116.1610361,-82,3D,328910.8,0.0,,0,0,0.01,,28,158,9,79,-71,5,11.5,12,,,0.003,1.000,-0.217,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.8,3106,,,,040001F8 A37 A37 *,480117FF N24 D59,,,3,3,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,350,OIL PRESS,
2026-07-29,12:21:34,19:21:34,-07:00,+33.6363401,-116.1610337,-86,3D,328911.6,0.0,,0,0,-0.00,,26,140,9,79,-71,3,11.6,12,,,0.005,1.001,-0.214,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.8,3107,,,,040001F8 A40 A40 *,480117FF N27 D67,,,4,3,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,345,OIL PRESS,
2026-07-29,12:21:35,19:21:35,-07:00,+33.6363408,-116.1610313,-89,3D,328912.6,0.0,,0,0,0.00,,24,125,9,79,-71,1,11.6,12,,,0.006,1.001,-0.202,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.8,3107,,,,040001F8 A43 A43 *,480117FF N31 D76,,,5,4,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,345,OIL PRESS,
2026-07-29,12:21:36,19:21:36,-07:00,+33.6363404,-116.1610298,-91,3D,328913.6,0.0,,0,0,0.00,,22,110,9,79,-71,-1,11.6,12,,,0.001,1.001,-0.186,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.8,3108,,,,040001F8 A46 A46 *,480117FF N35 D86,,,6,5,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,345,OIL PRESS,
2026-07-29,12:21:37,19:21:37,-07:00,+33.6363395,-116.1610287,-93,3D,328914.6,0.0,,0,0,-0.00,,21,99,9,79,-71,-1,11.4,12,,,-0.001,1.000,-0.206,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.9,3109,,,,040001F8 A49 A49 *,480117FF N39 D95,,,5,7,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,345,345,OIL PRESS,
2026-07-29,12:21:38,19:21:38,-07:00,+33.6363386,-116.1610286,-95,3D,328915.6,0.0,,0,0,-0.00,,20,90,9,78,-71,-3,11.1,11,,,0.004,1.002,-0.250,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.9,3109,,,,040001F8 A52 A52 *,480117FF N43 D99,,,5,5,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,340,345,OIL PRESS,
2026-07-29,12:21:39,19:21:39,-07:00,+33.6363379,-116.1610286,-97,3D,328916.6,0.0,,0,0,-0.00,,20,82,9,78,-71,-5,11.4,12,,,0.007,1.001,-0.304,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.9,3109,,,,040001F8 A55 A55 *,480117FF N47 D99,,,4,4,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,340,345,OIL PRESS,
2026-07-29,12:21:40,19:21:40,-07:00,+33.6363375,-116.1610290,-99,3D,328917.6,0.0,,0,0,0.00,,20,76,9,78,-71,-6,11.5,12,,,0.006,1.002,-0.355,,172,,,,29.76,123.000,121.500,115.500,VOR2,,,,,347,,,,,,,,,PFT,,,,,,,,,,,,-10.8,41.9,3109,,,,040001F8 A58 A58 *,480117FF N51 D99,,,3,3,,1200,ALT,0.2,0,1,184,3,0.0,0.3,23,197,207,13.2,-6,340,345,OIL PRESS,
