#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="656.7",engine_hours="373.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-04,07:38:08,15:38:08,-08:00,+33.6362316,-116.1611819,-120,3D-,401906.2,10.3,,0,5,-2.32,,91,403,9,22,-146,3,11.2,12,,,-0.032,1.004,-0.452,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A32 A32 *,080197FF N19 D45,,,11,11,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:08,15:38:08,-08:00,+33.6362316,-116.1611819,-120,3D-,401906.2,10.3,,0,5,-2.32,,91,403,9,22,-146,3,11.2,12,,,-0.032,1.004,-0.452,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A32 A32 *,080197FF N19 D45,,,11,11,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:08,15:38:08,-08:00,+33.6362282,-116.1611873,-123,3D-,401906.4,10.4,,0,5,-2.44,,85,348,9,22,-146,3,11.2,12,,,-0.027,0.996,-0.453,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A33 A33 *,080197FF N19 D47,,,9,12,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:09,15:38:09,-08:00,+33.6362484,-116.1611954,-132,3D-,401907.4,11.1,,0,6,-2.78,,73,255,9,22,-146,1,11.0,11,,,-0.029,1.003,-0.459,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A36 A36 *,080197FF N23 D57,,,14,12,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:10,15:38:10,-08:00,+33.6362662,-116.1611995,-138,3D-,401908.4,11.2,,0,6,-2.84,,66,209,9,22,-146,0,10.9,11,,,-0.028,0.998,-0.466,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.26,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A39 A39 *,080197FF N27 D64,,,11,10,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:11,15:38:11,-08:00,+33.6362877,-116.1612001,-145,3D-,401909.4,12.3,,0,6,-3.02,,62,184,9,22,-146,-0,11.0,11,,,-0.033,1.000,-0.474,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.26,,,,,,,PFT,,,,,,,,,,,,-10.8,31.9,1962,,,,081101F8 A42 A42 *,080197FF N31 D74,,,12,13,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:12,15:38:12,-08:00,+33.6362940,-116.1611918,-146,3D-,401910.4,11.5,,1,5,-2.75,,61,171,9,22,-146,2,11.0,11,,,-0.030,1.002,-0.478,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,PFT,,,,,,,,,,,,-10.8,31.9,1963,,,,081101F8 A45 A45 *,080197FF N35 D83,,,6,5,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:13,15:38:13,-08:00,+33.6363325,-116.1610690,,2D-,401911.4,2.7,,0,0,,,59,4258,9,22,-146,0,10.9,11,,,-0.027,1.000,-0.479,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,PFT,,,,,,,,,,,,-10.8,31.9,1963,,,,081101F8 A48 A48 *,080197FF N39 D93,,,8,7,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
2026-06-04,07:38:14,15:38:14,-08:00,+33.6363309,-116.1610673,-94,3D-,401912.4,0.4,,0,0,-0.01,,60,830,8,22,-146,-0,11.1,11,,,-0.031,1.002,-0.478,,176,,,,29.74,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.25,,,,,,,PFT,,,,,,,,,,,,-10.8,31.9,1963,,,,081101F8 A51 A51 *,080197FF N43 D99,,,9,15,,1200,ALT,29.9,0,1,158,10,0.0,0.3,-8,193,193,13.2,-6,290,295,OIL PRESS,
