#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="803.9",engine_hours="455.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-28,15:58:33,22:58:33,-07:00,+33.6363532,-116.1611353,-94,3D-,255531.2,0.0,,0,0,-0.01,,49,582,7,142,-54,11,11.6,12,,,0.013,1.000,-0.503,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A37 A37 *,080197FF N23 D62,,,4,7,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:33,22:58:33,-07:00,+33.6363532,-116.1611353,-94,3D-,255531.2,0.0,,0,0,-0.01,,49,582,7,142,-54,11,11.6,12,,,0.013,1.000,-0.503,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A37 A37 *,080197FF N23 D62,,,4,7,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:34,22:58:34,-07:00,+33.6363659,-116.1611349,-88,3D-,255532.1,0.0,,0,0,-0.01,,43,463,7,142,-54,8,11.5,12,,,0.016,1.001,-0.475,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A40 A40 *,080197FF N27 D69,,,3,5,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:35,22:58:35,-07:00,+33.6363725,-116.1611353,-86,3D-,255533.1,0.0,,0,0,-0.01,,40,399,7,141,-54,4,11.4,12,,,0.016,1.000,-0.454,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A42 A42 *,080197FF N31 D79,,,8,10,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:36,22:58:36,-07:00,+33.6363783,-116.1611364,-84,3D-,255534.1,0.0,,0,0,-0.01,,37,341,7,141,-55,-1,11.2,12,,,0.016,1.005,-0.459,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A45 A45 *,080197FF N35 D88,,,4,3,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:37,22:58:37,-07:00,+33.6363833,-116.1611379,-83,3D-,255535.1,0.0,,0,0,-0.01,,35,298,7,141,-55,-7,10.9,12,,,0.016,1.002,-0.478,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3396,,,,081101F8 A49 A49 *,080197FF N39 D98,,,3,5,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:38,22:58:38,-07:00,+33.6363837,-116.1611342,-106,3D-,255536.1,0.0,,0,0,-0.01,,33,211,7,141,-55,-6,11.1,12,,,0.016,1.002,-0.499,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3397,,,,081101F8 A51 A51 *,080197FF N43 D99,,,4,6,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:39,22:58:39,-07:00,+33.6363868,-116.1611332,-106,3D-,255537.1,0.0,,0,0,-0.00,,31,188,7,141,-55,-0,10.8,11,,,0.017,0.997,-0.517,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3397,,,,081101F8 A54 A54 *,080197FF N47 D99,,,5,8,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:40,22:58:40,-07:00,+33.6363892,-116.1611328,-106,3D-,255538.1,0.0,,0,0,-0.00,,29,170,7,141,-55,2,10.7,11,,,0.032,0.999,-0.533,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3397,,,,081101F8 A57 A57 *,080197FF N51 D99,,,11,11,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
2026-07-28,15:58:41,22:58:41,-07:00,+33.6363914,-116.1611334,-106,3D,255539.1,0.0,,0,0,0.01,,28,154,7,141,-55,2,10.6,11,,,0.024,0.993,-0.559,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3398,,,,080001F8 A60 A60 *,480117FF N55 D99,,,7,9,,1200,ALT,29.6,0,1,138,14,0.0,0.0,9,138,138,13.2,-6,115,115,OIL PRESS,
