#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.9",engine_hours="439.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,22:50:07,05:50:07,-07:00,+33.6363281,-116.1608969,-313,3D,280224.6,0.0,,0,0,-0.02,,66,816,9,9,-196,-6,10.5,11,,,-0.002,1.002,-0.344,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.5,2342,,,,040001F8 A36 A36 *,480117FF N23 D59,,,3,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:07,05:50:07,-07:00,+33.6363281,-116.1608969,-313,3D,280224.6,0.0,,0,0,-0.02,,66,816,9,9,-196,-6,10.5,11,,,-0.002,1.002,-0.344,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.5,2342,,,,040001F8 A36 A36 *,480117FF N23 D59,,,3,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:07,05:50:07,-07:00,+33.6363281,-116.1608969,-313,3D,280224.7,0.0,,0,0,-0.02,,66,816,9,9,-196,-6,10.5,11,,,-0.001,1.001,-0.343,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.5,2342,,,,040001F8 A37 A37 *,480117FF N23 D59,,,3,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:08,05:50:08,-07:00,+33.6363243,-116.1609032,-315,3D,280225.7,0.0,,0,0,-0.02,,60,683,9,9,-196,-11,10.4,11,,,-0.002,1.001,-0.320,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.5,2341,,,,040001F8 A39 A39 *,480117FF N27 D69,,,2,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:09,05:50:09,-07:00,+33.6363223,-116.1609071,-315,3D,280226.7,0.0,,0,0,-0.01,,55,588,9,9,-196,-8,10.4,11,,,-0.002,1.001,-0.288,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.5,2342,,,,040001F8 A42 A42 *,480117FF N31 D79,,,4,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:10,05:50:10,-07:00,+33.6363214,-116.1609120,-311,3D,280227.7,0.0,,0,0,-0.00,,51,516,9,8,-197,-9,10.5,11,,,-0.004,1.001,-0.273,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.5,2341,,,,040001F8 A45 A45 *,480117FF N35 D91,,,3,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:11,05:50:11,-07:00,+33.6363205,-116.1609143,-308,3D,280228.7,0.0,,0,0,-0.00,,46,396,9,9,-197,-9,10.3,11,,,-0.002,1.002,-0.278,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.5,2341,,,,040001F8 A48 A48 *,480117FF N39 D98,,,3,3,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:12,05:50:12,-07:00,+33.6363161,-116.1609108,-300,3D,280229.7,0.0,,0,0,-0.00,,39,255,9,9,-196,-1,10.2,11,,,-0.002,1.001,-0.296,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.5,2342,,,,040001F8 A51 A51 *,480117FF N43 D99,,,2,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
2026-07-21,22:50:13,05:50:13,-07:00,+33.6363130,-116.1609100,-294,3D,280230.7,0.0,,0,0,-0.00,,35,194,9,10,-196,13,10.3,11,,,-0.003,1.001,-0.318,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.5,2343,,,,040001F8 A54 A54 *,480117FF N47 D99,,,2,2,,1200,ALT,29.6,0,2,107,13,0.0,0.0,14,108,107,12.8,-6,95,90,OIL PRESS,
