#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="667.7",engine_hours="377.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-07,06:01:16,14:01:16,-08:00,+33.6363828,-116.1609751,-99,3D-,50494.4,0.0,,0,0,-0.03,,35,240,8,112,-84,3,9.0,9,,,0.003,1.001,-0.587,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A35 A35 *,080197FF N22 D57,,,6,7,,,,29.6,0,2,80,14,0.0,0.2,8,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:16,14:01:16,-08:00,+33.6363828,-116.1609751,-99,3D-,50494.4,0.0,,0,0,-0.03,,35,240,8,112,-84,3,9.0,9,,,0.003,1.001,-0.587,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A35 A35 *,080197FF N22 D57,,,6,7,,,,29.6,0,2,80,14,0.0,0.2,8,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:17,14:01:17,-08:00,+33.6363818,-116.1609745,-99,3D-,50494.9,0.0,,0,0,-0.03,,32,208,8,112,-84,2,9.1,9,,,0.004,1.002,-0.570,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A37 A37 *,080197FF N23 D62,,,6,6,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:18,14:01:18,-08:00,+33.6363797,-116.1609724,-98,3D-,50495.8,0.0,,0,0,-0.02,,29,169,8,112,-84,-1,9.1,9,,,0.002,1.000,-0.548,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A39 A39 *,080197FF N27 D71,,,5,5,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:19,14:01:19,-08:00,+33.6363786,-116.1609710,-98,3D-,50496.8,0.0,,0,0,-0.02,,27,142,8,112,-84,-2,9.0,9,,,-0.000,1.004,-0.538,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A43 A43 *,080197FF N31 D83,,,4,4,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:20,14:01:20,-08:00,+33.6363714,-116.1609535,-98,3D-,50497.9,0.0,,0,0,-0.02,,25,124,8,112,-84,-0,9.0,9,,,0.003,1.002,-0.549,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A46 A46 *,080197FF N35 D93,,,3,3,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:21,14:01:21,-08:00,+33.6363696,-116.1609508,-96,3D-,50498.9,0.0,,0,0,-0.01,,23,109,8,112,-84,1,9.3,9,,,0.002,0.999,-0.547,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A49 A49 *,080197FF N39 D99,,,6,6,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:22,14:01:22,-08:00,+33.6363676,-116.1609478,-93,3D-,50499.9,0.0,,0,0,-0.01,,22,97,8,111,-84,-1,9.3,10,,,0.003,1.004,-0.528,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,25.6,1365,,,,081101F8 A52 A52 *,080197FF N43 D99,,,7,7,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
2026-06-07,06:01:23,14:01:23,-08:00,+33.6363662,-116.1609445,-91,3D,50500.9,0.0,,0,0,-0.00,,21,87,8,111,-84,-3,9.2,9,,,0.003,1.002,-0.494,,90,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,160,167,,-0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,25.6,1365,,,,080001F8 A55 A55 *,480117FF N47 D99,,,4,4,,1200,ALT,29.6,0,2,80,14,0.0,0.2,7,81,81,13.2,-6,70,70,OIL PRESS,
