#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="692.6",engine_hours="386.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-24,09:16:47,17:16:47,-08:00,+33.6363316,-116.1611456,-81,3D,321424.7,0.0,,0,0,-0.00,,24,133,10,-32,-87,4,9.2,10,,,0.010,1.002,-0.844,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,Powerup,,,,,,,,,,,,-10.8,40.8,2867,,,,040001F8 A38 A38 *,480117FF N25 D64,,,10,10,,1200,ALT,29.8,0,2,91,14,0.4,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:48,17:16:48,-08:00,+33.6363310,-116.1611486,-83,3D,321425.7,0.0,,0,0,-0.00,,22,116,10,-33,-87,6,9.3,10,,,0.013,0.999,-0.798,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2866,,,,040001F8 A40 A40 *,480117FF N28 D74,,,17,12,,1200,ALT,29.8,0,2,91,14,0.4,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:48,17:16:48,-08:00,+33.6363309,-116.1611505,-85,3D,321426.4,0.0,,0,0,-0.00,,21,105,10,-33,-87,5,9.4,10,,,0.009,1.000,-0.769,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2865,,,,040001F8 A43 A43 *,480117FF N31 D81,,,13,13,,1200,ALT,29.8,0,2,91,14,0.4,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:49,17:16:49,-08:00,+33.6363314,-116.1611524,-87,3D,321427.4,0.0,,0,0,-0.00,,20,97,10,-33,-87,4,9.3,10,,,0.010,0.999,-0.752,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2865,,,,040001F8 A46 A46 *,480117FF N35 D88,,,5,8,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:50,17:16:50,-08:00,+33.6363324,-116.1611549,-89,3D,321428.4,0.0,,0,0,-0.00,,20,88,9,-33,-87,2,9.4,10,,,0.011,1.001,-0.733,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2864,,,,040001F8 A49 A49 *,480117FF N39 D98,,,5,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:51,17:16:51,-08:00,+33.6363338,-116.1611571,-90,3D,321429.4,0.0,,0,0,-0.00,,20,80,9,-33,-87,-0,9.3,10,,,0.011,1.001,-0.704,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2863,,,,040001F8 A52 A52 *,480117FF N43 D99,,,3,3,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:52,17:16:52,-08:00,+33.6363348,-116.1611592,-92,3D,321430.4,0.0,,0,0,-0.00,,20,74,9,-32,-87,0,9.3,10,,,0.011,1.001,-0.685,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2863,,,,040001F8 A55 A55 *,480117FF N47 D99,,,4,3,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:53,17:16:53,-08:00,+33.6363354,-116.1611609,-93,3D,321431.4,0.0,,0,0,-0.01,,20,69,9,-32,-87,3,9.4,10,,,0.011,1.000,-0.670,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2862,,,,040001F8 A58 A58 *,480117FF N51 D99,,,8,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
2026-06-24,09:16:54,17:16:54,-08:00,+33.6363353,-116.1611626,-94,3D,321432.4,0.0,,0,0,-0.00,,20,65,9,-32,-87,3,9.5,10,,,0.009,1.000,-0.645,,250,,,,29.86,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,40.8,2862,,,,040001F8 A61 A61 *,480117FF N55 D99,,,5,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.0,-7,85,85,OIL PRESS,
