#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.5",engine_hours="439.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,18:13:50,01:13:50,-07:00,+33.6365176,-116.1606889,305,3D-,263648.3,0.0,,0,0,0.00,,152,27609,5,85,-46,5,10.9,11,,,0.008,1.002,-0.279,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,Powerup,,,,,,,,,,,,-10.8,42.4,3176,,,,081101F8 A33 A33 *,080197FF N19 D45,,,2,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:50,01:13:50,-07:00,+33.6365176,-116.1606889,305,3D-,263648.3,0.0,,0,0,0.00,,152,27609,5,85,-46,5,10.9,11,,,0.008,1.002,-0.279,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,Powerup,,,,,,,,,,,,-10.8,42.4,3176,,,,081101F8 A33 A33 *,080197FF N19 D45,,,2,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:51,01:13:51,-07:00,+33.6365194,-116.1606815,310,3D-,263649.3,0.0,,0,0,0.00,,140,22903,5,85,-46,2,10.9,11,,,0.008,1.002,-0.276,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,Powerup,,,,,,,,,,,,-10.8,42.4,3176,,,,081101F8 A36 A36 *,080197FF N23 D55,,,2,3,L+,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:52,01:13:52,-07:00,+33.6365207,-116.1606744,313,3D-,263650.3,0.0,,0,0,0.00,,129,19556,5,85,-46,1,10.9,11,,,0.009,1.001,-0.280,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,Powerup,,,,,,,,,,,,-10.8,42.4,3177,,,,081101F8 A39 A39 *,080197FF N27 D62,,,3,2,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:53,01:13:53,-07:00,+33.6365255,-116.1606675,322,3D-,263651.3,0.0,,0,0,0.00,,118,16897,5,85,-46,0,11.0,12,,,0.008,1.002,-0.290,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.4,3178,,,,081101F8 A42 A42 *,080197FF N31 D71,,,3,2,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:54,01:13:54,-07:00,+33.6365300,-116.1606615,329,3D-,263652.3,0.0,,0,0,0.00,,109,14799,5,85,-46,1,11.0,12,,,0.005,1.005,-0.305,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.4,3178,,,,081101F8 A45 A45 *,080197FF N35 D81,,,4,6,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:55,01:13:55,-07:00,+33.6365308,-116.1606602,328,3D-,263653.3,0.0,,0,0,-0.00,,86,8413,5,85,-46,1,10.9,11,,,0.008,1.002,-0.336,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.4,3179,,,,081101F8 A48 A48 *,080197FF N39 D91,,,2,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:56,01:13:56,-07:00,+33.6364460,-116.1606825,210,3D-,263654.3,0.0,,0,0,-0.00,,90,6474,5,85,-46,3,10.9,11,,,0.008,1.001,-0.367,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.4,3179,,,,081101F8 A51 A51 *,080197FF N43 D98,,,4,4,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:57,01:13:57,-07:00,+33.6364407,-116.1607079,178,3D-,263655.3,0.0,,0,0,0.00,,87,4197,5,85,-46,4,10.9,11,,,0.008,1.001,-0.403,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3180,,,,081101F8 A54 A54 *,080197FF N47 D99,,,3,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:58,01:13:58,-07:00,+33.6364343,-116.1607230,161,3D-,263656.3,0.0,,0,0,0.00,,73,3244,5,85,-46,1,11.0,11,,,0.008,1.001,-0.440,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3180,,,,081101F8 A57 A57 *,080197FF N51 D99,,,3,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:13:59,01:13:59,-07:00,+33.6364288,-116.1607317,149,3D-,263657.3,0.0,,0,0,-0.00,,65,2637,5,85,-46,-1,10.9,12,,,0.008,1.001,-0.466,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3180,,,,081101F8 A60 A60 *,080197FF N55 D99,,,2,2,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:14:00,01:14:00,-07:00,+33.6364252,-116.1607395,138,3D-,263658.3,0.0,,0,0,-0.00,,59,2241,5,85,-46,1,11.0,11,,,0.009,1.001,-0.483,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.28,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3181,,,,081101F8 A63 A63 *,080197FF N59 D99,,,2,2,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:14:01,01:14:01,-07:00,+33.6364230,-116.1607464,126,3D-,263659.3,0.0,,0,0,-0.00,,55,1967,5,85,-46,-1,10.9,11,,,0.009,1.001,-0.496,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3181,,,,081101F8 A66 A66 *,080197FF N63 N3,,,2,2,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:14:02,01:14:02,-07:00,+33.6364219,-116.1607511,117,3D-,263660.3,0.0,,0,0,-0.00,,51,1753,5,85,-46,-3,10.9,11,,,0.008,1.003,-0.517,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3181,,,,081101F8 A69 A69 *,080197FF N67 N6,,,5,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:14:03,01:14:03,-07:00,+33.6364219,-116.1607524,114,3D-,263661.3,0.0,,0,0,-0.00,,48,1555,5,85,-46,-1,10.8,11,,,0.006,1.001,-0.531,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3182,,,,081101F8 A72 A72 *,080197FF N71 N9,,,4,4,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-5,105,105,OIL PRESS,
2026-07-21,18:14:04,01:14:04,-07:00,+33.6364214,-116.1607537,111,3D-,263662.3,0.0,,0,0,-0.01,,46,1397,5,85,-46,-2,10.9,11,,,0.009,1.002,-0.532,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3182,,,,081101F8 A75 A75 *,080197FF N75 N12,,,3,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-6,105,105,OIL PRESS,
2026-07-21,18:14:05,01:14:05,-07:00,+33.6364209,-116.1607535,108,3D-,263663.3,0.0,,0,0,-0.01,,44,1276,5,85,-46,-3,10.8,11,,,0.008,1.001,-0.536,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,164,347,,+0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,42.5,3182,,,,081101F8 A78 A78 *,080197FF N78 N15,,,3,3,,1200,ALT,29.7,0,2,118,14,0.0,0.6,-4,119,118,13.1,-6,105,105,OIL PRESS,
