#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="723.1",engine_hours="401.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-11,14:37:06,22:37:06,-08:00,+33.6363452,-116.1607839,37,3D-,599843.6,0.0,,0,0,-0.14,,125,20,10,56,-85,4,10.9,11,,,-0.009,1.001,-0.430,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,40.6,2948,,,,081101F8 A38 A38 *,080197FF N25 D62,,,4,8,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:06,22:37:06,-08:00,+33.6363603,-116.1607646,37,3D-,599844.2,0.0,,0,0,-0.12,,120,20,10,56,-85,6,10.8,11,,,-0.010,1.002,-0.416,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2948,,,,081101F8 A40 A40 *,080197FF N27 D67,,,3,3,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:07,22:37:07,-08:00,+33.6363983,-116.1607131,38,3D-,599845.1,0.0,,0,0,-0.08,,110,20,10,56,-84,10,10.8,11,,,-0.010,1.002,-0.402,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2948,,,,081101F8 A43 A43 *,080197FF N31 D76,,,3,9,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:08,22:37:08,-08:00,+33.6364031,-116.1607012,39,3D-,599846.1,0.0,,0,0,-0.06,,104,20,10,56,-84,11,11.0,11,,,-0.010,1.002,-0.394,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A45 A45 *,080197FF N35 D86,,,3,7,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:09,22:37:09,-08:00,+33.6364079,-116.1606910,40,3D-,599847.1,0.0,,0,0,-0.04,,99,20,10,56,-84,10,11.0,11,,,-0.009,1.001,-0.384,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A48 A48 *,080197FF N39 D95,,,3,2,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:10,22:37:10,-08:00,+33.6364146,-116.1606802,41,3D-,599848.1,0.0,,0,0,-0.03,,94,20,9,56,-84,6,10.9,11,,,-0.009,1.001,-0.374,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A51 A51 *,080197FF N43 D99,,,4,3,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:11,22:37:11,-08:00,+33.6364062,-116.1606847,42,3D-,599849.1,0.0,,0,0,-0.02,,89,20,9,56,-84,5,10.9,12,,,-0.009,1.001,-0.363,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A54 A54 *,080197FF N47 D99,,,4,5,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:12,22:37:12,-08:00,+33.6364029,-116.1606820,42,3D-,599850.1,0.0,,0,0,-0.02,,86,20,9,57,-84,8,11.0,11,,,-0.009,1.002,-0.351,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A58 A58 *,080197FF N51 D99,,,3,2,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
2026-07-11,14:37:13,22:37:13,-08:00,+33.6363896,-116.1606932,42,3D-,599851.1,0.0,,0,0,-0.01,,82,20,9,57,-83,14,11.0,12,,,-0.009,1.002,-0.337,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI MSG,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2949,,,,081101F8 A60 A60 *,080197FF N55 D99,,,3,5,,1200,ALT,29.8,0,2,132,14,0.0,0.2,5,132,133,13.2,-6,115,115,OIL PRESS,
