#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="726.3",engine_hours="404.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-12,08:25:31,16:25:31,-08:00,+33.6364516,-116.1608955,-55,3D-,59149.1,0.0,,0,0,0.05,,51,853,7,-76,-254,10,9.2,10,,,0.012,0.997,-0.305,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,Powerup,,,,,,,,,,,,-10.8,32.9,1949,,,,081101F8 A37 A37 *,080197FF N25 D64,,,22,24,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:32,16:25:32,-08:00,+33.6364255,-116.1609223,-64,3D-,59149.8,0.0,,0,0,0.05,,43,731,7,-76,-254,7,9.4,10,,,0.027,1.001,-0.353,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,Powerup,,,,,,,,,,,,-10.8,32.9,1949,,,,081101F8 A40 A40 *,080197FF N27 D69,,,31,27,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:33,16:25:33,-08:00,+33.6364260,-116.1609190,-64,3D-,59150.8,0.0,,0,0,0.03,,38,578,7,-76,-254,5,9.8,9,,,-0.001,0.996,-0.368,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1949,,,,081101F8 A42 A42 *,080197FF N31 D79,,,35,33,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:34,16:25:34,-08:00,+33.6364251,-116.1609166,-63,3D-,59151.8,0.0,,0,0,0.03,,34,478,7,-76,-253,8,13.0,13,,,0.002,1.003,-0.067,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1950,,,,081101F8 A45 A45 *,080197FF N35 D91,,,23,25,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:35,16:25:35,-08:00,+33.6364247,-116.1609151,-63,3D,59152.8,0.0,,0,0,0.02,,32,410,7,-76,-253,10,11.6,12,,,0.001,1.007,+0.068,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1950,,,,080001F8 A48 A48 *,480117FF N39 D99,,,18,22,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:36,16:25:36,-08:00,+33.6364246,-116.1609134,-62,3D,59153.8,0.0,,0,0,0.02,,29,361,7,-76,-253,10,10.3,11,,,0.006,1.003,+0.100,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1951,,,,040001F8 A51 A51 *,480117FF N43 D99,,,17,19,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:37,16:25:37,-08:00,+33.6364243,-116.1609123,-61,3D,59154.8,0.0,,0,0,0.01,,28,318,7,-76,-253,7,9.9,10,,,0.004,0.999,+0.071,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1951,,,,040001F8 A54 A54 *,480117FF N47 D99,,,17,22,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:38,16:25:38,-08:00,+33.6364237,-116.1609121,-61,3D,59155.8,0.0,,0,0,0.01,,26,286,7,-76,-253,3,11.9,12,,,0.008,0.995,-0.049,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1951,,,,040001F8 A57 A57 *,480117FF N51 D99,,,21,20,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
2026-07-12,08:25:39,16:25:39,-08:00,+33.6364228,-116.1609121,-62,3D,59156.8,0.0,,0,0,0.01,,25,259,7,-75,-253,9,10.2,10,,,0.006,0.998,-0.185,,330,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,32.9,1952,,,,040001F8 A60 A60 *,480117FF N55 D99,,,9,13,,1200,ALT,29.8,0,2,90,14,0.0,0.0,5,90,91,13.1,-6,80,80,OIL PRESS,
