#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="703.1",engine_hours="390.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-30,06:55:58,14:55:58,-08:00,+33.6362874,-116.1610094,-164,3D,226575.9,0.0,,0,0,0.00,,36,268,9,9,-131,11,11.9,12,,,0.007,0.999,-0.052,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.1,1179,,,,040001F8 A39 A39 *,480117FF N27 D64,,,21,20,,1200,ALT,29.9,0,1,178,5,0.0,0.2,-2,204,196,13.1,-9,320,340,OIL PRESS,
2026-06-30,06:55:58,14:55:58,-08:00,+33.6362886,-116.1610076,-165,3D,226576.0,0.0,,0,0,0.01,,36,262,9,9,-131,10,11.5,12,,,0.019,1.003,-0.051,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,25.1,1179,,,,040001F8 A40 A40 *,480117FF N27 D64,,,24,21,,1200,ALT,29.9,0,1,178,5,0.0,0.2,-2,204,196,13.1,-9,320,340,OIL PRESS,
2026-06-30,06:55:59,14:55:59,-08:00,+33.6362929,-116.1610012,-170,3D,226577.0,0.0,,0,0,-0.00,,33,232,9,8,-131,2,11.9,12,,,0.007,0.998,-0.053,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1179,,,,040001F8 A43 A43 *,480117FF N31 D74,,,28,29,,1200,ALT,29.9,0,1,178,5,0.0,0.2,-2,204,196,13.1,-9,320,340,OIL PRESS,
2026-06-30,06:56:00,14:56:00,-08:00,+33.6362965,-116.1609955,-175,3D,226578.0,0.0,,0,0,0.00,,30,207,9,7,-132,-17,9.3,9,,,0.038,1.015,-0.121,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1177,,,,040001F8 A46 A46 *,480117FF N35 D83,,,116,201,,1200,ALT,28.1,0,9,166,5,0.0,1.3,-2,188,183,13.0,-9,320,340,OIL PRESS,
2026-06-30,06:56:01,14:56:01,-08:00,+33.6362999,-116.1609898,-179,3D,226579.0,0.0,,0,0,0.00,,28,186,9,5,-133,-37,5.2,5,,,0.048,1.015,-0.358,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1176,,,,040001F8 A49 A49 *,480117FF N39 D93,,,83,43,,1200,ALT,23.2,2000,28,167,5,0.5,3.0,-2,189,187,13.0,-6,320,340,,
2026-06-30,06:56:02,14:56:02,-08:00,+33.6363033,-116.1609840,-182,3D,226580.0,0.0,,0,0,-0.01,,26,170,9,4,-135,-62,9.4,10,,,0.022,1.007,-0.738,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1175,,,,040001F8 A52 A52 *,480117FF N43 D99,,,84,55,,1200,ALT,20.1,2520,39,171,5,1.1,3.8,-2,193,191,13.0,-3,340,360,,
2026-06-30,06:56:03,14:56:03,-08:00,+33.6363054,-116.1609799,-184,3D,226581.1,0.0,,0,0,-0.00,,25,156,9,5,-135,-55,9.4,9,,,0.009,0.999,-1.072,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1174,,,,040001F8 A55 A55 *,480117FF N47 D99,,,70,45,,1200,ALT,18.1,2520,47,173,5,1.6,4.4,-2,195,192,13.1,-1,370,395,,
2026-06-30,06:56:04,14:56:04,-08:00,+33.6363073,-116.1609776,-185,3D,226582.0,0.0,,0,0,-0.00,,23,144,9,5,-135,-35,10.6,11,,,0.023,1.011,-1.470,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.1,1173,,,,040001F8 A58 A58 *,480117FF N51 D99,,,81,42,,1200,ALT,17.3,2520,51,174,5,1.8,4.6,-2,195,192,13.1,0,400,435,,
2026-06-30,06:56:05,14:56:05,-08:00,+33.6363089,-116.1609749,-186,3D,226583.0,0.0,,0,0,-0.00,,22,134,9,6,-135,-20,10.7,11,,,0.050,1.025,-1.720,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1173,,,,040001F8 A61 A61 *,480117FF N55 D99,,,71,41,,1200,ALT,17.1,2500,53,174,5,2.1,4.7,-2,195,192,13.1,0,430,465,,
2026-06-30,06:56:06,14:56:06,-08:00,+33.6363103,-116.1609726,-188,3D,226584.0,0.0,,0,0,0.00,,21,125,9,7,-134,12,11.3,11,,,0.012,0.969,-1.734,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1174,,,,040001F8 A64 A64 *,480117FF N59 D99,,,76,44,,1200,ALT,17.0,2510,54,174,5,2.2,4.8,-2,194,191,13.2,1,465,505,,
2026-06-30,06:56:07,14:56:07,-08:00,+33.6363117,-116.1609710,-190,3D,226585.1,0.0,,0,0,-0.00,,21,117,9,7,-134,28,11.8,12,,,-0.007,0.994,-1.601,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1174,,,,040001F8 A67 A67 *,480117FF N63 N2,,,86,52,,1200,ALT,16.8,2530,55,174,5,2.3,4.9,-2,193,190,13.2,1,495,540,,
2026-06-30,06:56:08,14:56:08,-08:00,+33.6363129,-116.1609695,-192,3D,226586.0,0.0,,0,0,-0.01,,20,110,9,8,-133,40,13.3,13,,,-0.015,1.003,-1.383,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1175,,,,040001F8 A70 A70 *,480117FF N67 N4,,,95,51,,1200,ALT,16.9,2540,55,174,5,2.4,4.9,-2,192,189,13.2,1,525,570,,
2026-06-30,06:56:09,14:56:09,-08:00,+33.6363136,-116.1609679,-193,3D,226587.0,0.0,,0,0,0.00,,20,104,9,8,-132,42,12.4,13,,,-0.039,0.975,-1.116,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1175,,,,040001F8 A73 A73 *,480117FF N71 N7,,,90,51,,1200,ALT,17.0,2540,55,175,5,2.4,5.0,-2,192,189,13.2,1,550,600,,
2026-06-30,06:56:10,14:56:10,-08:00,+33.6363144,-116.1609661,-194,3D,226588.0,0.0,,0,0,-0.00,,20,99,9,6,-133,6,11.3,11,,,-0.008,1.005,-0.880,,310,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,161,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,25.0,1173,,,,040001F8 A76 A76 *,480117FF N75 N11,,,86,46,,1200,ALT,17.1,2540,55,175,5,2.3,5.0,-2,191,188,13.2,1,580,630,,
