#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="794.1",engine_hours="449.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-24,09:31:14,16:31:14,-07:00,+33.6363483,-116.1609367,142,3D-,491492.2,1.4,,0,0,0.01,,156,15519,5,23,-127,-2,10.6,11,,,0.014,1.001,-0.428,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,Powerup,,,,,,,,,,,,-10.8,40.5,2901,,,,081101F8 A40 A40 *,080197FF N27 D69,,,5,5,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-8,165,155,OIL PRESS,
2026-07-24,09:31:14,16:31:14,-07:00,+33.6363483,-116.1609367,142,3D-,491492.2,1.4,,0,0,0.01,,156,15519,5,23,-127,-2,10.6,11,,,0.014,1.001,-0.428,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,Powerup,,,,,,,,,,,,-10.8,40.5,2901,,,,081101F8 A40 A40 *,080197FF N27 D69,,,5,5,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-8,165,155,OIL PRESS,
2026-07-24,09:31:14,16:31:14,-07:00,+33.6363483,-116.1609367,142,3D-,491492.3,1.2,,0,0,0.01,,156,15519,5,23,-127,-3,10.5,11,,,0.015,1.002,-0.428,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,Powerup,,,,,,,,,,,,-10.8,40.5,2901,,,,081101F8 A40 A40 *,080197FF N27 D71,,,4,4,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-8,165,155,OIL PRESS,
2026-07-24,09:31:15,16:31:15,-07:00,+33.6363481,-116.1609311,155,3D-,491493.3,0.2,,0,0,0.00,,110,7962,5,23,-127,-3,10.5,11,,,0.010,1.001,-0.437,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,40.5,2902,,,,081101F8 A43 A43 *,080197FF N31 D81,,,4,5,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:16,16:31:16,-07:00,+33.6363483,-116.1609284,161,3D-,491494.3,0.0,,0,0,0.00,,90,5393,5,23,-127,1,10.6,11,,,0.014,1.002,-0.445,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,40.5,2902,,,,081101F8 A46 A46 *,080197FF N35 D91,,,6,5,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:17,16:31:17,-07:00,+33.6363503,-116.1609236,165,3D,491495.3,0.0,,0,0,-0.00,,65,1527,5,23,-127,3,10.6,11,,,0.014,1.000,-0.455,,164,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,40.5,2902,,,,040001F8 A49 A49 *,480117FF N39 D99,,,3,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:18,16:31:18,-07:00,+33.6363518,-116.1609204,169,3D,491496.3,0.0,,0,0,0.00,,56,946,5,23,-127,-1,10.7,11,,,0.014,1.001,-0.466,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2902,,,,040001F8 A52 A52 *,480117FF N43 D99,,,3,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:19,16:31:19,-07:00,+33.6363544,-116.1609165,174,3D,491497.3,0.0,,0,0,-0.00,,50,686,5,23,-127,-3,10.6,11,,,0.013,1.001,-0.504,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2903,,,,040001F8 A55 A55 *,480117FF N47 D99,,,3,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:20,16:31:20,-07:00,+33.6363564,-116.1609141,178,3D,491498.3,0.0,,0,0,-0.00,,46,551,5,23,-127,-1,10.8,12,,,0.013,1.002,-0.559,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2903,,,,040001F8 A58 A58 *,480117FF N51 D99,,,3,2,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:21,16:31:21,-07:00,+33.6363587,-116.1609119,180,3D-,491499.3,0.0,,0,0,-0.00,,43,456,5,23,-127,3,11.2,12,,,0.014,1.002,-0.604,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,162,167,,-0.55,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2903,,,,040001F8 A61 A61 *,480117FF N55 D99,,,3,2,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:22,16:31:22,-07:00,+33.6363608,-116.1609094,183,3D-,491500.3,0.0,,0,0,-0.00,,40,393,5,23,-126,6,11.1,11,,,0.010,1.001,-0.625,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.57,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2904,,,,020001F8 A61 A61 *,480117FF N59 D99,,,3,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:23,16:31:23,-07:00,+33.6363631,-116.1609076,185,3D-,491501.3,0.0,,0,0,-0.00,,38,346,5,23,-126,7,11.1,12,,,0.015,1.001,-0.620,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.59,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2904,,,,020001F8 A61 A61 *,480117FF N63 N3,,,4,4,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:24,16:31:24,-07:00,+33.6363654,-116.1609062,186,3D,491502.3,0.0,,0,0,-0.01,,36,310,5,23,-126,6,11.0,11,,,0.013,1.002,-0.607,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,161,167,,-0.60,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2904,,,,040001F8 A62 A62 *,480117FF N67 N7,,,2,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
2026-07-24,09:31:25,16:31:25,-07:00,+33.6363679,-116.1609055,186,3D,491503.3,0.0,,0,0,-0.01,,35,283,5,23,-126,1,11.0,12,,,0.014,1.001,-0.593,,164,,,,29.76,123.000 RX,121.500,116.200,VOR2,,TRM,,160,167,,-0.64,,,,,,,PFT,,,,,,,,,,,,-10.8,40.6,2903,,,,040001F8 A65 A65 *,480117FF N71 N10,,,3,3,,1200,ALT,29.9,0,1,173,7,0.0,0.7,5,186,183,13.1,-9,165,155,OIL PRESS,
