#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="768.1",engine_hours="431.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-18,14:30:41,21:30:41,-07:00,+33.4035857,-118.4165380,1619,3D-,595859.3,0.0,,0,0,-0.04,,32,219,9,1497,1560,7,10.5,11,,,-0.034,1.001,-0.602,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.3,26.5,3159,,,,081101F8 A34 A34 *,080197FF N21 D47,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.1,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:41,21:30:41,-07:00,+33.4035857,-118.4165380,1619,3D-,595859.3,0.0,,0,0,-0.04,,32,219,9,1497,1560,7,10.5,11,,,-0.034,1.001,-0.602,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.3,26.5,3159,,,,081101F8 A34 A34 *,080197FF N21 D47,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.1,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:42,21:30:42,-07:00,+33.4035861,-118.4165396,1620,3D-,595860.0,0.0,,0,0,-0.03,,29,189,9,1497,1560,6,10.7,11,,,-0.037,1.001,-0.620,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.3,26.5,3158,,,,081101F8 A36 A36 *,080197FF N23 D55,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:43,21:30:43,-07:00,+33.4035866,-118.4165413,1621,3D-,595861.0,0.0,,0,0,-0.02,,27,155,9,1496,1560,1,10.4,11,,,-0.036,0.999,-0.672,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.3,26.5,3157,,,,081101F8 A39 A39 *,080197FF N27 D62,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:44,21:30:44,-07:00,+33.4035883,-118.4165516,1625,3D-,595862.0,0.0,,0,0,-0.02,,23,113,9,1496,1560,-7,11.2,12,,,-0.036,1.000,-0.725,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.3,26.5,3155,,,,081101F8 A42 A42 *,080197FF N31 D71,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:45,21:30:45,-07:00,+33.4035891,-118.4165537,1626,3D-,595863.0,0.0,,0,0,-0.02,,22,97,9,1496,1560,-10,10.7,11,,,-0.034,1.001,-0.737,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.3,26.4,3154,,,,081101F8 A45 A45 *,080197FF N35 D81,,,5,4,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,132,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:46,21:30:46,-07:00,+33.4035894,-118.4165554,1627,3D-,595864.0,0.0,,0,0,-0.01,,20,85,9,1496,1560,-7,10.2,11,,,-0.034,0.998,-0.731,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.3,26.4,3153,,,,081101F8 A48 A48 *,080197FF N39 D91,,,4,5,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,131,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:47,21:30:47,-07:00,+33.4035889,-118.4165569,1628,3D,595865.0,0.0,,0,0,-0.01,,20,75,9,1496,1560,-2,9.6,10,,,-0.037,1.000,-0.737,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.3,26.4,3152,,,,080001F8 A51 A51 *,480197FF N43 D98,,,5,4,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,131,13.2,-6,90,105,OIL PRESS,
2026-07-18,14:30:48,21:30:48,-07:00,+33.4035889,-118.4165574,1628,3D,595866.0,0.0,,0,0,-0.01,,20,68,9,1496,1560,-3,9.4,10,,,-0.035,0.999,-0.789,,134,,,,29.99,122.700,123.450,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.3,26.4,3150,,,,040001F8 A53 A53 *,480117FF N47 D99,,,3,3,,1200,ALT,28.3,0,1,138,7,0.0,0.2,5,139,131,13.2,-6,90,105,OIL PRESS,
