#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.5",engine_hours="439.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,16:42:01,23:42:01,-07:00,,,,,,,,,,,,,,,82,-49,-1,9.6,10,,,-0.063,0.986,-0.406,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TSM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.5,3289,,,,081101F8 A43 A43 *,080197FF N31 D76,,,86,41,,1200,ALT,18.7,2370,39,106,14,2.0,4.2,-4,108,105,13.2,3,180,210,,
2026-07-21,16:42:01,23:42:01,-07:00,,,,,,,,,,,,,,,82,-49,-1,9.6,10,,,-0.063,0.986,-0.406,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TSM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.5,3289,,,,081101F8 A43 A43 *,080197FF N31 D76,,,86,41,,1200,ALT,18.7,2370,39,106,14,2.0,4.2,-4,108,105,13.2,3,180,210,,
2026-07-21,16:42:02,23:42:02,-07:00,,,,,,,,,,,,,,,82,-49,-3,10.6,11,,,-0.013,0.981,-0.441,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TSM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.5,3290,,,,081101F8 A45 A45 *,080197FF N35 D83,,,77,43,,1200,ALT,17.9,2380,49,107,14,2.2,4.3,-4,108,105,13.2,4,215,255,,
2026-07-21,16:42:03,23:42:03,-07:00,,,,,,,,,,,,,,,82,-49,0,9.9,10,,,0.007,0.987,-0.476,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.5,3292,,,,081101F8 A48 A48 *,080197FF N39 D95,,,73,31,,1200,ALT,17.3,2280,57,107,14,2.2,4.4,-4,109,106,13.3,4,260,310,,
2026-07-21,16:42:04,23:42:04,-07:00,,,,,,,,,,,,,,,82,-49,-3,10.4,11,,,-0.082,0.969,-0.548,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3293,,,,081101F8 A51 A51 *,080197FF N43 D99,,,92,40,,1200,ALT,17.0,2300,59,107,14,2.2,4.4,-4,109,106,13.3,4,305,365,,
2026-07-21,16:42:05,23:42:05,-07:00,,,,,,,,,,,,,,,81,-49,-8,9.7,10,,,0.026,0.991,-0.626,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3294,,,,081101F8 A54 A54 *,080197FF N47 D99,,,87,45,,1200,ALT,16.8,2330,60,107,14,2.3,4.4,-4,109,107,13.3,4,340,405,,
2026-07-21,16:42:06,23:42:06,-07:00,,,,,,,,,,,,,,,82,-49,-13,10.2,11,,,0.008,0.978,-0.675,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3294,,,,081101F8 A57 A57 *,080197FF N51 D99,,,66,35,,1200,ALT,16.7,2310,60,107,14,2.3,4.4,-4,110,107,13.3,4,375,450,,
2026-07-21,16:42:07,23:42:07,-07:00,,,,,,,,,,,,,,,82,-49,-4,10.3,11,,,-0.042,0.986,-0.709,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3296,,,,081101F8 A60 A60 *,080197FF N55 D99,,,81,33,,1200,ALT,16.7,2320,60,108,14,2.2,4.5,-4,110,108,13.3,4,410,490,,
2026-07-21,16:42:08,23:42:08,-07:00,,,,,,,,,,,,,,,82,-49,4,10.1,11,,,0.051,0.998,-0.771,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3297,,,,081101F8 A63 A63 *,080197FF N59 D99,,,69,41,,1200,ALT,16.7,2310,61,108,14,2.1,4.5,-4,110,108,13.3,4,440,520,,
2026-07-21,16:42:09,23:42:09,-07:00,,,,,,,,,,,,,,,82,-49,11,8.6,9,,,-0.018,1.011,-0.820,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3298,,,,081101F8 A66 A66 *,080197FF N63 N2,,,60,34,,1200,ALT,16.6,2340,61,108,14,2.1,4.5,-4,111,108,13.3,4,470,550,,
2026-07-21,16:42:10,23:42:10,-07:00,,,,,,,,,,,,,,,82,-49,2,11.2,12,,,0.025,1.021,-0.881,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3299,,,,081101F8 A69 A69 *,080197FF N67 N5,,,61,39,,1200,ALT,16.6,2330,61,108,14,2.1,4.5,-4,111,109,13.3,5,495,580,,
2026-07-21,16:42:11,23:42:11,-07:00,,,,,,,,,,,,,,,82,-49,2,10.1,10,,,0.036,1.011,-0.931,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3300,,,,081101F8 A72 A72 *,080197FF N71 N9,,,81,50,,1200,ALT,16.6,2330,61,108,14,2.0,4.5,-4,112,109,13.3,5,520,605,,
2026-07-21,16:42:12,23:42:12,-07:00,,,,,,,,,,,,,,,83,-49,4,10.3,11,,,0.023,0.998,-0.973,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3301,,,,081101F8 A75 A75 *,080197FF N75 N12,,,82,40,,1200,ALT,16.6,2310,61,108,14,2.0,4.5,-4,112,110,13.3,5,540,630,,
2026-07-21,16:42:13,23:42:13,-07:00,,,,,,,,,,,,,,,83,-48,14,10.9,11,,,-0.024,0.982,-0.954,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.6,3303,,,,081101F8 A78 A78 *,080197FF N78 N15,,,113,46,,1200,ALT,16.6,2310,61,108,14,1.9,4.6,-4,113,111,13.3,5,565,650,,
2026-07-21,16:42:14,23:42:14,-07:00,,,,,,,,,,,,,,,83,-48,11,10.8,11,,,0.027,0.998,-0.879,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.7,3305,,,,081101F8 A81 A81 *,080197FF N82 N19,,,78,45,,1200,ALT,16.7,2310,61,108,14,1.9,4.6,-4,113,111,13.3,5,580,665,,
2026-07-21,16:42:15,23:42:15,-07:00,,,,,,,,,,,,,,,82,-48,2,9.6,10,,,-0.009,0.997,-0.835,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.7,3307,,,,081101F8 A84 A84 *,080197FF N86 N22,,,67,35,,1200,ALT,16.7,2300,61,108,14,1.9,4.6,-4,114,112,13.3,5,600,685,,
2026-07-21,16:42:16,23:42:16,-07:00,,,,,,,,,,,,,,,83,-48,4,11.7,12,,,-0.016,0.998,-0.783,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.7,3309,,,,081101F8 A87 A87 *,080197FF N90 N25,,,73,37,,1200,ALT,16.7,2320,61,108,14,1.7,4.7,-4,114,112,13.3,5,615,700,TRAFFIC FAIL,
2026-07-21,16:42:17,23:42:17,-07:00,,,,,,,,,,,,,,,83,-48,13,9.8,10,,,0.021,1.003,-0.719,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.7,3312,,,,081101F8 A90 A90 *,080197FF N94 N28,,,87,40,,1200,ALT,16.8,2220,62,108,14,1.7,4.7,-4,115,113,13.3,5,630,715,TRAFFIC FAIL,
2026-07-21,16:42:18,23:42:18,-07:00,,,,,,,,,,,,,,,82,-48,-2,8.8,9,,,0.015,0.991,-0.741,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,163,347,,+0.45,,,,,,,PFT,,,,,,,,,,,,-10.8,43.7,3313,,,,081101F8 A93 A93 *,080197FF N98 N32,,,68,40,,1200,ALT,17.1,2160,62,108,14,1.6,4.7,-4,116,114,13.3,5,645,730,TRAFFIC FAIL,
2026-07-21,16:42:19,23:42:19,-07:00,,,,,,,,,,,,,,,83,-49,-11,12.2,13,,,0.012,1.000,-0.822,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,43.8,3315,,,,081101F8 A96 A96 *,080197FF N100 N35,,,81,37,,1200,ALT,17.2,2290,62,108,14,1.5,4.7,-4,116,114,13.3,4,660,750,TRAFFIC FAIL,
2026-07-21,16:42:20,23:42:20,-07:00,,,,,,,,,,,,,,,83,-48,-3,8.0,8,,,-0.012,1.016,-0.864,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.8,3318,,,,081101F8 A99 A99 *,080197FF N100 N39,,,82,37,,1200,ALT,17.1,2310,62,108,14,1.7,4.7,-4,117,115,13.3,4,675,765,TRAFFIC FAIL,
2026-07-21,16:42:21,23:42:21,-07:00,,,,,,,,,,,253.1,,,,83,-48,2,8.1,8,2.93,-0.28,0.029,1.002,-1.025,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.8,3320,,,,081107FF D10 D10 *,080197FF N100 N42,0.1,0.4,55,32,,1200,ALT,16.9,2310,62,108,14,2.0,4.7,-4,117,115,13.3,4,685,775,TRAFFIC FAIL,
2026-07-21,16:42:22,23:42:22,-07:00,,,,,,,,,,,253.2,,,,84,-48,15,8.4,9,2.93,-0.32,0.002,1.000,-1.200,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.8,3323,,,,081107FF D22 D22 *,080197FF N100 N45,0.1,0.3,75,33,,1200,ALT,16.7,2300,62,108,14,1.8,4.7,-4,118,116,13.3,4,700,785,TRAFFIC FAIL,
2026-07-21,16:42:23,23:42:23,-07:00,,,,,,,,,,,253.3,,,,84,-48,13,8.3,9,3.06,-0.33,-0.049,1.004,-1.408,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3326,,,,081107FF D34 D34 *,080197FF N100 N48,0.3,0.4,73,37,,1200,ALT,16.7,2380,62,108,14,1.5,4.8,-4,118,116,13.3,4,705,795,TRAFFIC FAIL,
2026-07-21,16:42:24,23:42:24,-07:00,,,,,,,,,,,253.4,,,,83,-47,12,7.6,8,2.95,-0.31,0.014,0.997,-1.577,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3328,,,,081107FF D46 D46 *,080197FF N100 N51,0.2,0.4,71,42,,1200,ALT,16.9,2470,61,108,14,1.8,4.8,-4,119,117,13.3,5,715,805,TRAFFIC FAIL,
2026-07-21,16:42:25,23:42:25,-07:00,+33.6363113,-116.1609726,-98,3D,258162.9,0.0,,0,0,0.51,253.4,63,1179,9,83,-48,-1,7.6,8,2.93,-0.30,0.001,1.016,-1.931,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3330,,,,081107FF D58 D58 *,480197FF N100 N55,0.2,0.3,62,43,,1200,ALT,17.0,2500,60,109,14,2.1,4.8,-4,120,118,13.3,5,725,815,TRAFFIC FAIL,
2026-07-21,16:42:26,23:42:26,-07:00,+33.6363123,-116.1609726,-101,3D,258163.9,0.0,,0,0,0.10,253.2,41,500,9,83,-48,-8,8.1,8,2.75,-0.22,0.008,1.003,-1.677,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,43.9,3333,,,,040007FF D70 D70 *,480117FF N100 N59,0.0,0.4,75,53,,1200,ALT,17.0,2480,60,109,14,2.1,4.8,-4,120,118,13.3,6,735,820,TRAFFIC FAIL,
2026-07-21,16:42:27,23:42:27,-07:00,+33.6363129,-116.1609711,-102,3D,258164.9,0.0,,0,0,0.04,253.0,33,322,9,83,-48,-6,7.6,7,2.66,-0.41,0.028,1.007,-1.441,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.0,3336,,,,040007FF D82 D82 *,480117FF N100 N62,0.1,0.3,76,57,,1200,ALT,17.1,2480,60,109,14,2.2,4.8,-4,121,119,13.3,6,745,825,TRAFFIC FAIL,
2026-07-21,16:42:28,23:42:28,-07:00,+33.6363144,-116.1609696,-102,3D,258165.9,0.0,,0,0,0.01,252.9,28,237,9,83,-48,-8,7.4,7,2.63,-0.28,-0.008,0.998,-1.505,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.0,3339,,,,040007FF D94 D94 *,480117FF N100 N65,0.1,0.4,59,50,,1200,ALT,17.2,2510,60,109,14,2.3,4.8,-4,121,120,13.3,6,750,830,TRAFFIC FAIL,
2026-07-21,16:42:29,23:42:29,-07:00,+33.6363159,-116.1609680,-102,3D,258166.9,0.0,,0,0,0.01,253.4,25,189,9,84,-48,6,8.6,9,2.95,-0.37,-0.022,0.995,-1.503,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.0,3343,,,,040007FF D98 D98 *,480117FF N100 N68,0.2,0.3,70,46,,1200,ALT,17.3,2500,60,109,14,2.2,4.8,-4,122,120,13.3,6,760,835,TRAFFIC FAIL,
2026-07-21,16:42:30,23:42:30,-07:00,+33.6363178,-116.1609675,-103,3D,258167.9,0.0,,0,0,0.00,253.0,23,157,9,84,-47,12,9.4,10,2.62,-0.34,0.047,1.036,-1.447,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.0,3346,,,,040007FF D98 D98 *,480117FF N100 N71,0.1,0.4,67,50,,1200,ALT,17.5,2550,60,109,14,2.2,4.8,-4,122,121,13.4,6,765,840,TRAFFIC FAIL,
2026-07-21,16:42:31,23:42:31,-07:00,+33.6363188,-116.1609665,-103,3D,258168.9,0.0,,0,0,0.00,253.5,22,135,9,84,-47,11,10.5,11,2.96,-0.28,0.000,1.003,-1.296,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.1,3349,,,,040007FF D98 D98 *,480117FF N100 N75,0.3,0.4,86,55,,1200,ALT,17.7,2540,60,109,14,2.0,4.8,-4,123,121,13.4,6,775,845,TRAFFIC FAIL,
2026-07-21,16:42:32,23:42:32,-07:00,+33.6363196,-116.1609659,-104,3D,258169.9,0.0,,0,0,0.00,253.0,20,118,9,84,-47,9,11.0,12,2.70,-0.34,-0.025,0.973,-1.110,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.1,3352,,,,040007FF D98 D98 *,480117FF N100 N78,0.0,0.4,66,45,,1200,ALT,17.7,2590,60,109,14,2.0,4.9,-4,124,122,13.4,6,780,850,TRAFFIC FAIL,
2026-07-21,16:42:33,23:42:33,-07:00,+33.6363204,-116.1609650,-105,3D,258170.9,0.0,,0,0,-0.00,253.2,20,106,9,84,-47,6,11.1,12,2.71,-0.38,0.013,1.013,-0.953,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.1,3356,,,,040007FF D98 D98 *,480117FF N100 N81,0.1,0.3,72,44,,1200,ALT,17.7,2600,60,109,14,2.0,4.9,-4,124,122,13.4,6,785,855,TRAFFIC FAIL,
2026-07-21,16:42:34,23:42:34,-07:00,+33.6363243,-116.1609626,-103,3D,258171.9,0.0,,0,0,0.00,253.3,20,96,9,84,-47,4,11.0,12,2.83,-0.38,0.020,1.020,-0.810,,320,,,,29.78,123.000,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,44.2,3358,,,,040007FF D98 D98 *,480117FF N100 N85,0.2,0.3,75,42,,1200,ALT,17.7,2600,60,109,14,2.1,4.9,-4,125,123,13.4,6,795,860,TRAFFIC FAIL,
2026-07-21,16:42:35,23:42:35,-07:00,+33.6363271,-116.1609607,-103,3D,258172.9,0.0,,0,0,-0.00,253.0,20,87,9,84,-47,6,11.2,12,2.65,-0.30,0.008,0.997,-0.692,,320,,,,29.78,123.000 RX,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,PFT,,,,,,,,,,,,-10.8,44.2,3361,,,,040007FF D98 D98 *,480117FF N100 N88,0.0,0.4,81,48,,1200,ALT,17.6,2560,60,109,14,2.2,4.9,-4,125,123,13.4,6,800,865,TRAFFIC FAIL,
2026-07-21,16:42:36,23:42:36,-07:00,+33.6363299,-116.1609595,-102,3D,258173.9,0.0,,0,0,0.00,252.6,20,81,9,84,-47,1,11.2,12,2.40,-0.31,0.040,1.014,-0.612,,320,,,,29.78,123.000 RX,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,,,,,,,,,,,,,-10.8,44.2,3363,,,,040007FF N2 N2 *,480117FF N100 N91,0.3,0.4,85,54,,1200,ALT,17.5,2530,60,109,14,2.2,4.9,-4,126,124,13.4,6,805,870,TRAFFIC FAIL,
2026-07-21,16:42:37,23:42:37,-07:00,+33.6363324,-116.1609585,-102,3D,258174.9,0.0,,0,0,-0.00,252.8,20,75,9,84,-47,-1,11.1,11,2.56,-0.37,-0.029,0.978,-0.559,,320,,,,29.78,123.000 RX,121.500,116.200,VOR2,,TRM,,162,347,,+0.46,,,,,,,,,,,,,,,,,,,-10.8,44.2,3365,,,,040007FF N6 N6 *,480117FF N100 N95,0.2,0.4,75,57,,1200,ALT,17.4,2530,60,109,14,2.2,4.9,-4,126,124,13.4,6,810,875,TRAFFIC FAIL,
2026-07-21,16:42:38,23:42:38,-07:00,+33.6363347,-116.1609573,-101,3D,258175.9,0.0,,0,0,-0.00,252.8,20,70,9,83,-47,-5,10.7,11,2.67,-0.35,0.000,0.999,-0.548,,320,,,,29.78,123.000 RX,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,,,,,,,,,,,,,-10.8,44.3,3368,,,,040007FF N10 N10 *,480117FF N100 N98,0.1,0.4,69,47,,1200,ALT,17.3,2540,60,109,14,2.2,5.0,-4,127,125,13.4,6,815,875,TRAFFIC FAIL,
2026-07-21,16:42:39,23:42:39,-07:00,+33.6363364,-116.1609561,-101,3D,258176.9,0.0,,0,0,0.00,253.0,20,66,9,84,-47,-7,10.4,11,2.73,-0.28,0.017,0.996,-0.573,,320,,,,29.78,123.000 RX,121.500,116.200,VOR2,,TRM,,162,347,,+0.47,,,,,,,,,,,,,,,,,,,-10.8,44.3,3370,,,,040007FF N14 N14 *,480117FF N100 N100,0.1,0.4,72,45,,1200,ALT,17.3,2530,60,109,14,2.1,5.0,-4,127,125,13.4,6,820,880,TRAFFIC FAIL,
