#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="803.9",engine_hours="455.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-28,15:03:42,22:03:42,-07:00,+33.6358303,-116.1609438,5,3D-,252239.8,0.0,,0,0,0.04,,217,3591,7,109,-87,3,12.0,13,,,-0.005,1.001,-0.249,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A41 A41 *,080197FF N29 D71,,,2,2,,1200,ALT,28.6,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:42,22:03:42,-07:00,+33.6358303,-116.1609438,5,3D-,252239.8,0.0,,0,0,0.04,,217,3591,7,109,-87,3,12.0,13,,,-0.005,1.001,-0.249,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A41 A41 *,080197FF N29 D71,,,2,2,,1200,ALT,28.6,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:42,22:03:42,-07:00,+33.6358552,-116.1609453,0,3D-,252240.5,0.0,,0,0,0.03,,183,2782,7,110,-87,3,11.9,13,,,-0.005,1.002,-0.248,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A43 A43 *,080197FF N31 D79,,,2,2,,1200,ALT,29.2,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:43,22:03:43,-07:00,+33.6358915,-116.1609534,-10,3D-,252241.5,0.0,,0,0,0.02,,153,2070,8,110,-86,6,12.0,12,,,-0.005,1.002,-0.245,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A46 A46 *,080197FF N35 D88,,,2,3,,1200,ALT,29.5,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:44,22:03:44,-07:00,+33.6359143,-116.1609552,-15,3D-,252242.5,0.0,,0,0,0.01,,135,1692,8,110,-86,7,12.0,13,,,-0.007,1.000,-0.241,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A49 A49 *,080197FF N39 D98,,,3,3,,1200,ALT,29.7,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:45,22:03:45,-07:00,+33.6359452,-116.1609581,-22,3D-,252243.5,0.0,,0,0,0.01,,120,1396,8,110,-86,9,12.2,13,,,-0.001,1.001,-0.227,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A52 A52 *,080197FF N43 D99,,,5,5,,1200,ALT,29.7,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:46,22:03:46,-07:00,+33.6359785,-116.1609577,-29,3D-,252244.5,0.0,,0,0,0.01,,107,1174,8,110,-86,8,12.3,13,,,-0.002,1.001,-0.217,,208,,,,29.71,123.000,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A55 A55 *,080197FF N47 D99,,,5,12,,1200,ALT,29.8,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:47,22:03:47,-07:00,+33.6360034,-116.1609559,-36,3D-,252245.5,0.0,,0,0,0.01,,98,1028,8,110,-86,6,12.3,13,,,-0.006,1.003,-0.204,,208,,,,29.71,123.000 RX,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A58 A58 *,080197FF N51 D99,,,3,4,,1200,ALT,29.8,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:48,22:03:48,-07:00,+33.6360282,-116.1609576,-44,3D-,252246.5,0.0,,0,0,0.00,,93,940,8,110,-86,2,12.1,13,,,-0.005,1.001,-0.192,,208,,,,29.71,123.000 RX,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A61 A61 *,080197FF N55 D99,,,5,4,,1200,ALT,29.8,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
2026-07-28,15:03:49,22:03:49,-07:00,+33.6360501,-116.1609589,-53,3D-,252247.5,0.0,,0,0,0.00,,88,866,7,110,-86,-2,12.0,13,,,-0.004,1.001,-0.186,,208,,,,29.71,123.000 RX,121.500,116.200,VOR2,,,,,122,,,,,,,,,PFT,,,,,,,,,,,,-10.8,43.2,3285,,,,081101F8 A64 A64 *,080197FF N59 D99,,,3,4,,1200,ALT,29.8,0,1,154,14,0.0,0.8,9,154,154,13.1,-6,120,120,OIL PRESS,
