#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.9",engine_hours="439.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,21:00:03,04:00:03,-07:00,+33.6362034,-116.1608842,-335,3D-,273621.1,0.1,,0,0,-0.13,,87,2245,8,32,-173,8,10.5,11,,,-0.004,1.001,-0.535,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A34 A34 *,080197FF N19 D50,,,2,2,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:03,04:00:03,-07:00,+33.6362034,-116.1608842,-335,3D-,273621.1,0.1,,0,0,-0.13,,87,2245,8,32,-173,8,10.5,11,,,-0.004,1.001,-0.535,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A34 A34 *,080197FF N19 D50,,,2,2,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:04,04:00:04,-07:00,+33.6361987,-116.1608846,-335,3D-,273622.0,0.0,,0,0,-0.09,,79,2027,8,32,-173,3,10.5,11,,,-0.005,1.002,-0.531,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A36 A36 *,080197FF N23 D59,,,2,2,L+,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:05,04:00:05,-07:00,+33.6361940,-116.1608883,-333,3D-,273623.0,0.0,,0,0,-0.07,,74,1866,8,32,-173,2,10.5,11,,,-0.006,1.003,-0.522,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A39 A39 *,080197FF N27 D69,,,3,2,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:06,04:00:06,-07:00,+33.6361844,-116.1609028,-348,3D-,273624.0,0.0,,0,0,-0.05,,69,1540,8,32,-173,1,10.6,11,,,-0.000,0.998,-0.501,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A42 A42 *,080197FF N31 D79,,,3,4,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:07,04:00:07,-07:00,+33.6361783,-116.1609192,-346,3D-,273625.0,0.0,,0,0,-0.04,,64,1317,8,32,-173,-1,10.7,11,,,-0.005,1.002,-0.475,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,37.6,2597,,,,081101F8 A45 A45 *,080197FF N35 D88,,,5,5,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:08,04:00:08,-07:00,+33.6361649,-116.1609304,-336,3D-,273626.0,0.0,,0,0,-0.03,,60,1176,8,32,-173,-2,10.6,11,,,-0.003,1.000,-0.452,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,37.6,2596,,,,081101F8 A48 A48 *,080197FF N39 D98,,,4,3,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:09,04:00:09,-07:00,+33.6361597,-116.1609405,-332,3D-,273627.0,0.0,,0,0,-0.03,,58,1054,8,32,-173,-4,10.5,11,,,-0.004,1.002,-0.437,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,37.6,2596,,,,081101F8 A51 A51 *,080197FF N43 D99,,,3,2,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
2026-07-21,21:00:10,04:00:10,-07:00,+33.6361517,-116.1609506,-328,3D-,273628.0,0.0,,0,0,-0.02,,54,914,8,31,-174,-10,10.5,11,,,-0.005,1.002,-0.424,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,37.6,2596,,,,081101F8 A54 A54 *,080197FF N47 D99,,,2,2,,1200,ALT,29.6,0,2,128,13,0.0,0.0,14,129,128,13.0,-5,105,105,OIL PRESS,
