#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="682.0",engine_hours="381.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-10,14:50:24,22:50:24,-08:00,+33.6357899,-116.1605997,-683,3D-,341442.3,0.0,,0,0,0.01,,234,15337,7,142,2,-4,10.0,10,,,-0.008,1.001,-0.744,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2941,,,,081101F8 A32 A32 *,080197FF N19 D45,,,3,3,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,,
2026-06-10,14:50:24,22:50:24,-08:00,+33.6357899,-116.1605997,-683,3D-,341442.3,0.0,,0,0,0.01,,234,15337,7,142,2,-4,10.0,10,,,-0.008,1.001,-0.744,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2941,,,,081101F8 A32 A32 *,080197FF N19 D45,,,3,3,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,,
2026-06-10,14:50:25,22:50:25,-08:00,+33.6357960,-116.1606099,-681,3D-,341442.5,0.0,,0,0,0.01,,226,14213,7,142,2,3,10.0,10,,,-0.010,1.002,-0.745,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2941,,,,081101F8 A34 A34 *,080197FF N19 D47,,,3,2,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:25,22:50:25,-08:00,+33.6357708,-116.1605686,-672,3D-,341443.5,0.0,,0,0,0.00,,198,10939,7,142,2,-3,10.5,11,,,-0.008,1.003,-0.742,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2941,,,,081101F8 A37 A37 *,080197FF N23 D57,,,3,2,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:26,22:50:26,-08:00,+33.6357524,-116.1605044,-653,3D-,341444.5,0.0,,0,0,0.00,,165,6883,7,141,1,-14,10.6,11,,,-0.010,0.999,-0.727,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.6,2940,,,,081101F8 A40 A40 *,080197FF N27 D64,,,3,2,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:27,22:50:27,-08:00,+33.6357356,-116.1604814,-674,3D-,341445.5,0.0,,0,0,0.00,,157,5929,7,141,1,-19,10.8,11,,,-0.005,1.001,-0.697,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,PFT,,,,,,,,,,,,-10.8,39.6,2939,,,,081101F8 A43 A43 *,080197FF N31 D74,,,3,3,,1200,ALT,29.7,0,1,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:28,22:50:28,-08:00,+33.6357263,-116.1604559,-685,3D-,341446.5,0.0,,0,0,0.00,,152,5566,7,141,1,-18,10.6,11,,,-0.009,1.002,-0.673,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,PFT,,,,,,,,,,,,-10.8,39.6,2939,,,,081101F8 A46 A46 *,080197FF N35 D86,,,4,3,,1200,ALT,29.7,0,2,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:29,22:50:29,-08:00,+33.6357190,-116.1604469,-693,3D-,341447.5,0.0,,0,0,0.00,,146,5277,7,141,1,-15,9.2,10,,,-0.010,0.994,-0.676,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,PFT,,,,,,,,,,,,-10.8,39.6,2939,,,,081101F8 A49 A49 *,080197FF N39 D95,,,5,3,,1200,ALT,29.7,0,2,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
2026-06-10,14:50:30,22:50:30,-08:00,+33.6357171,-116.1604462,-703,3D-,341448.5,0.0,,0,0,0.00,,141,4990,7,141,0,-13,9.6,10,,,-0.008,1.002,-0.711,,150,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,167,,-0.24,,,,,,,PFT,,,,,,,,,,,,-10.8,39.6,2939,,,,081101F8 A52 A52 *,080197FF N43 D99,,,4,10,,1200,ALT,29.7,0,2,101,6,0.0,0.0,6,104,101,13.2,-6,95,95,OIL PRESS,
