#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="692.6",engine_hours="386.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-24,09:12:52,17:12:52,-08:00,+33.6363908,-116.1610160,123,3D-,321190.4,0.0,,0,0,0.00,,169,64260,4,-33,-229,7,9.4,10,,,0.008,0.999,-0.566,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2760,,,,081101F8 A40 A40 *,080197FF N29 D69,,,5,6,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:53,17:12:53,-08:00,+33.6363888,-116.1610219,113,3D,321191.1,0.0,,0,0,0.00,,153,52623,4,-34,-229,5,9.5,10,,,0.008,1.002,-0.579,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2761,,,,080001F8 A43 A43 *,480117FF N31 D76,,,3,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:54,17:12:54,-08:00,+33.6363871,-116.1610288,101,3D,321192.1,0.0,,0,0,0.00,,135,40578,4,-33,-229,3,9.5,10,,,0.008,1.001,-0.627,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2761,,,,040001F8 A46 A46 *,480117FF N35 D86,,,4,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:55,17:12:55,-08:00,+33.6363855,-116.1610361,90,3D,321193.1,0.0,,0,0,0.00,,122,33018,4,-33,-229,3,9.5,10,,,0.008,1.001,-0.674,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2763,,,,020001F8 A47 A47 *,480117FF N39 D95,,,5,5,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:56,17:12:56,-08:00,+33.6363841,-116.1610404,88,3D,321194.1,0.0,,0,0,0.00,,112,27839,4,-33,-229,3,9.6,10,,,0.007,1.000,-0.708,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2764,,,,040001F8 A49 A49 *,480117FF N43 D99,,,3,3,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:57,17:12:57,-08:00,+33.6363827,-116.1610457,81,3D,321195.1,0.0,,0,0,0.00,,104,24064,4,-33,-229,3,9.6,10,,,0.007,1.001,-0.728,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.54,,,,,,,PFT,,,,,,,,,,,,0.0,39.9,2765,,,,040001F8 A50 A50 *,480197FF N47 D99,,,3,4,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:58,17:12:58,-08:00,+33.6363807,-116.1610537,70,3D,321196.1,0.0,,0,0,0.00,,98,21191,4,-33,-229,5,9.4,10,,,0.008,1.000,-0.735,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.54,,,,,,,PFT,,,,,,,,,,,,0.0,39.9,2766,,,,040001F8 A52 A52 *,480117FF N51 D99,,,3,4,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:12:59,17:12:59,-08:00,+33.6363781,-116.1610613,59,3D,321197.1,0.0,,0,0,0.00,,93,18935,4,-33,-229,6,9.5,10,,,0.007,1.002,-0.738,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.54,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2767,,,,020001F8 A53 A53 *,480117FF N55 D99,,,3,2,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
2026-06-24,09:13:00,17:13:00,-08:00,+33.6363758,-116.1610676,50,3D,321198.2,0.0,,0,0,0.00,,88,17117,4,-33,-229,7,9.5,10,,,0.008,1.000,-0.732,,250,,,,29.71,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.54,,,,,,,PFT,,,,,,,,,,,,-10.8,39.9,2768,,,,040001F8 A55 A55 *,480197FF N59 D99,,,3,2,,1200,ALT,29.8,0,2,91,14,0.5,0.2,-7,87,90,13.1,-6,85,85,OIL PRESS,
