#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="614.8",engine_hours="361.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-05-16,14:32:28,22:32:28,-08:00,+33.6362779,-116.1609702,84,3D-,599566.0,0.0,,0,0,-0.00,,49,519,8,167,-47,8,10.3,11,,,-0.036,1.019,-0.721,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A32 A32 *,080197FF N17 D43,,,74,61,,,,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:28,22:32:28,-08:00,+33.6362779,-116.1609702,84,3D-,599566.0,0.0,,0,0,-0.00,,49,519,8,167,-47,8,10.3,11,,,-0.036,1.019,-0.721,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A32 A32 *,080197FF N17 D43,,,74,61,,,,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:29,22:32:29,-08:00,+33.6362798,-116.1609728,83,3D-,599566.6,0.0,,0,0,-0.00,,46,442,8,167,-47,2,11.7,12,,,0.038,0.987,-0.771,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A34 A34 *,080197FF N19 D47,,,58,69,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:30,22:32:30,-08:00,+33.6362813,-116.1609719,82,3D-,599567.7,0.0,,0,0,-0.00,,41,351,8,167,-48,-2,6.6,7,,,-0.025,1.016,-1.088,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A37 A37 *,080197FF N24 D59,,,91,82,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:31,22:32:31,-08:00,+33.6362813,-116.1609697,82,3D-,599568.6,0.0,,0,0,-0.00,,37,294,8,167,-48,-8,11.4,12,,,0.053,1.001,-1.424,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A40 A40 *,080197FF N27 D69,,,91,92,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:32,22:32:32,-08:00,+33.6361987,-116.1610783,,2D-,599569.5,0.0,,0,0,,,36,12941,8,167,-48,-2,8.4,8,,,-0.035,0.996,-1.491,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,33.0,2259,,,,081101F8 A43 A43 *,080197FF N31 D79,,,89,81,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:33,22:32:33,-08:00,+33.6361710,-116.1610867,-21,3D-,599570.5,0.0,,0,0,0.00,,40,2647,8,167,-48,-0,7.5,8,,,0.000,1.002,-1.650,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,33.0,2260,,,,081101F8 A46 A46 *,080197FF N35 D88,,,59,62,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:34,22:32:34,-08:00,+33.6361799,-116.1610912,-25,3D-,599571.5,0.0,,0,0,0.00,,41,1316,7,167,-48,0,7.7,8,,,-0.026,0.999,-1.873,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,33.0,2260,,,,081101F8 A49 A49 *,080197FF N39 D98,,,40,34,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
2026-05-16,14:32:35,22:32:35,-08:00,+33.6361878,-116.1610969,-28,3D,599572.6,0.0,,0,0,-0.01,,42,895,7,168,-47,12,9.9,10,,,0.014,1.011,-1.940,,330,,,,29.69,123.000,121.500,113.750,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,33.0,2261,,,,081101F8 A52 A52 *,480197FF N43 D99,,,72,69,,1200,ALT,29.6,0,2,87,4,0.0,0.0,-8,89,87,13.1,-6,80,80,OIL PRESS,
