#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="745.0",engine_hours="417.4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-14,06:47:33,13:47:33,-07:00,+33.6363184,-116.1608330,-135,3D,222471.2,0.0,,0,0,0.01,,35,348,8,-52,-192,-2,9.3,10,,,-0.001,1.003,-0.473,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2029,,,,040001F8 A94 A94 *,480117FF N99 N33,,,2,2,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:33,13:47:33,-07:00,+33.6363184,-116.1608330,-135,3D,222471.3,0.0,,0,0,0.01,,35,348,8,-52,-192,-2,9.3,10,,,-0.000,1.000,-0.472,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2029,,,,040001F8 A94 A94 *,480117FF N99 N33,,,1,2,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:34,13:47:34,-07:00,+33.6363191,-116.1608316,-135,3D,222472.3,0.0,,0,0,0.00,,30,256,8,-52,-192,-2,9.4,10,,,-0.001,1.001,-0.457,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2028,,,,040001F8 A97 A97 *,480117FF N100 N37,,,3,3,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:35,13:47:35,-07:00,+33.6363193,-116.1608293,-135,3D,222473.3,0.0,,0,0,0.00,255.7,27,198,8,-52,-192,-0,9.3,10,2.20,-0.02,0.000,1.000,-0.459,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2029,,,,040007FF D0 D0 *,480117FF N100 N40,0.2,0.3,6,6,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:36,13:47:36,-07:00,+33.6363189,-116.1608286,-135,3D,222474.3,0.0,,0,0,-0.01,255.7,25,163,8,-52,-192,2,9.4,10,2.20,0.03,0.001,1.000,-0.461,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.20,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2029,,,,040007FF D12 D12 *,480117FF N100 N43,0.2,0.4,3,5,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:37,13:47:37,-07:00,+33.6363189,-116.1608277,-135,3D,222475.3,0.0,,0,0,-0.00,255.7,23,141,8,-52,-192,2,9.3,10,2.21,-0.02,-0.000,1.001,-0.465,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.20,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2028,,,,040007FF D24 D24 *,480117FF N100 N47,0.1,0.3,4,3,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:38,13:47:38,-07:00,+33.6363191,-116.1608272,-135,3D,222476.3,0.0,,0,0,-0.00,255.7,22,122,8,-52,-192,1,9.3,10,2.21,0.01,-0.001,1.002,-0.472,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2028,,,,040007FF D36 D36 *,480117FF N100 N51,0.1,0.3,2,3,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:39,13:47:39,-07:00,+33.6363196,-116.1608270,-135,3D,222477.3,0.0,,0,0,-0.00,255.7,21,108,8,-52,-192,-1,9.3,10,2.20,0.05,-0.000,1.002,-0.482,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2028,,,,040007FF D48 D48 *,480117FF N100 N54,0.1,0.4,3,2,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
2026-07-14,06:47:40,13:47:40,-07:00,+33.6363193,-116.1608266,-137,3D,222478.3,0.0,,0,0,-0.00,255.7,20,99,8,-52,-192,0,9.2,9,2.19,0.01,-0.000,1.002,-0.472,,351,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,165,347,,+0.21,,,,,,,PFT,,,,,,,,,,,,-10.8,33.3,2028,,,,040007FF D60 D60 *,480117FF N100 N57,0.1,0.3,3,2,,1200,ALT,29.8,0,2,95,3,0.0,0.0,1,95,95,13.1,-8,85,85,OIL PRESS / TRAFFIC FAIL,
