#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="710.3",engine_hours="394.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-09,16:09:10,00:09:10,-08:00,+33.6363125,-116.1611454,-176,3D-,432568.1,0.0,,0,0,-0.01,,69,2215,4,189,40,6,10.7,11,,,0.013,1.001,-0.388,,174,,,,29.76,123.000,121.500,116.200,VOR2,,TSM,,174,167,,+0.74,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3577,,,,081101F8 A41 A41 *,080197FF N29 D74,,,2,3,,1200,ALT,29.3,0,1,110,14,0.9,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:11,00:09:11,-08:00,+33.6363115,-116.1611468,-175,3D,432568.6,0.0,,0,0,-0.00,,63,1858,4,189,40,4,10.6,11,,,0.012,1.001,-0.393,,174,,,,29.76,123.000,121.500,116.200,VOR2,,TSM,,174,167,,+0.74,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3577,,,,081101F8 A43 A43 *,080197FF N31 D79,,,2,2,,1200,ALT,29.3,0,1,110,14,0.9,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:12,00:09:12,-08:00,+33.6363137,-116.1611488,-174,3D,432569.6,0.0,,0,0,-0.01,,55,1471,4,189,40,2,10.8,12,,,0.012,1.000,-0.402,,174,,,,29.76,123.000,121.500,116.200,VOR2,,TSM,,174,167,,+0.74,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3577,,,,040001F8 A46 A46 *,480117FF N35 D88,,,3,2,,1200,ALT,29.3,0,1,110,14,0.9,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:13,00:09:13,-08:00,+33.6363152,-116.1611503,-172,3D,432570.6,0.0,,0,0,-0.00,,50,1216,4,189,40,2,10.9,11,,,0.012,1.002,-0.402,,174,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,174,167,,+0.74,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3577,,,,040001F8 A49 A49 *,480117FF N39 D98,,,12,20,,1200,ALT,29.3,0,1,110,14,0.9,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:14,00:09:14,-08:00,+33.6363157,-116.1611540,-171,3D,432571.6,0.0,,0,0,-0.01,,46,1034,4,189,40,2,10.9,11,,,0.012,1.003,-0.424,,174,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,174,167,,+0.73,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3578,,,,040001F8 A52 A52 *,480117FF N43 D99,,,12,21,,1200,ALT,29.3,0,1,110,14,0.9,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:15,00:09:15,-08:00,+33.6363164,-116.1611568,-171,3D,432572.6,0.0,,0,0,-0.00,,43,903,4,190,40,6,10.8,11,,,0.013,1.000,-0.465,,174,,,,29.76,123.000,118.325 RX,116.200,VOR2,,TRM,,174,167,,+0.73,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3579,,,,040001F8 A55 A55 *,480117FF N47 D99,,,5,15,,1200,ALT,29.3,0,1,110,14,1.0,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:16,00:09:16,-08:00,+33.6363172,-116.1611589,-171,3D,432573.7,0.0,,0,0,-0.00,,40,798,4,189,40,6,10.7,11,,,0.013,1.000,-0.513,,174,,,,29.76,123.000,118.325 RX,116.200,VOR2,,TRM,,174,167,,+0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3579,,,,040001F8 A58 A58 *,480117FF N51 D99,,,3,4,,1200,ALT,29.3,0,1,110,14,1.1,0.3,16,108,109,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:17,00:09:17,-08:00,+33.6363179,-116.1611611,-170,3D,432574.6,0.0,,0,0,-0.00,,38,718,4,190,40,3,10.9,12,,,0.010,1.000,-0.562,,174,,,,29.76,123.000,118.325 RX,116.200,VOR2,,TRM,,174,167,,+0.72,,,,,,,PFT,,,,,,,,,,,,-10.8,45.0,3579,,,,040001F8 A61 A61 *,480117FF N55 D99,,,4,3,,1200,ALT,29.3,0,1,110,14,1.1,0.3,16,108,85,13.1,-6,100,100,OIL PRESS,
2026-07-09,16:09:18,00:09:18,-08:00,+33.6363188,-116.1611616,-169,3D,432575.6,0.0,,0,0,-0.00,,36,651,4,189,40,3,11.0,12,,,0.012,1.000,-0.606,,174,,,,29.76,123.000,118.325 RX,116.200,VOR2,,TRM,,174,167,,+0.73,,,,,,,PFT,,,,,,,,,,,,-10.8,45.1,3580,,,,040001F8 A64 A64 *,480117FF N59 D99,,,3,3,,1200,ALT,29.3,0,1,110,14,1.1,0.3,16,108,63,13.1,-6,100,100,OIL PRESS,
