#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="621.6",engine_hours="362.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-05-21,06:47:02,14:47:02,-08:00,+33.6363615,-116.1609600,-80,3D,398839.9,0.1,,0,0,0.06,,50,957,8,-7,-64,-1,9.7,10,,,0.002,1.003,-0.421,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040001F8 A82 A82 *,480117FF N84 N19,,,3,3,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS,
2026-05-21,06:47:02,14:47:02,-08:00,+33.6363615,-116.1609596,-80,3D,398840.4,0.0,,0,0,0.02,,43,690,8,-7,-64,-1,9.8,10,,,0.001,1.002,-0.421,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040001F8 A84 A84 *,480117FF N87 N22,,,3,3,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:03,14:47:03,-08:00,+33.6363625,-116.1609564,-81,3D,398841.4,0.0,,0,0,0.02,,35,452,8,-7,-64,-2,9.8,10,,,0.001,1.002,-0.411,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040001F8 A87 A87 *,480117FF N91 N24,,,2,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:04,14:47:04,-08:00,+33.6363637,-116.1609524,-83,3D,398842.4,0.0,,0,0,0.01,,31,323,8,-7,-64,-2,9.7,10,,,0.002,1.002,-0.402,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040001F8 A90 A90 *,480117FF N95 N27,,,3,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:05,14:47:05,-08:00,+33.6363645,-116.1609498,-84,3D,398843.5,0.0,,0,0,0.01,,28,253,8,-7,-64,-1,9.8,10,,,0.001,1.002,-0.430,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1276,,,,040001F8 A93 A93 *,480117FF N99 N31,,,3,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:06,14:47:06,-08:00,+33.6363648,-116.1609478,-85,3D,398844.4,0.0,,0,0,0.00,,25,207,8,-7,-64,2,9.8,10,,,0.002,1.002,-0.489,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1276,,,,040001F8 A96 A96 *,480117FF N100 N34,,,2,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:07,14:47:07,-08:00,+33.6363653,-116.1609469,-85,3D,398845.4,0.0,,0,0,-0.00,,24,177,8,-7,-64,1,9.9,10,,,0.001,1.002,-0.525,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1276,,,,040001F8 A99 A99 *,480117FF N100 N37,,,2,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:08,14:47:08,-08:00,+33.6363658,-116.1609466,-85,3D,398846.4,0.0,,0,0,-0.00,258.7,22,154,8,-7,-64,-1,9.8,10,2.73,-0.15,0.002,1.002,-0.557,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040007FF D10 D10 *,480117FF N100 N41,0.3,0.2,2,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,65,65,OIL PRESS / TRAFFIC FAIL,
2026-05-21,06:47:09,14:47:09,-08:00,+33.6363658,-116.1609457,-85,3D,398847.5,0.0,,0,0,-0.00,258.7,21,137,8,-7,-64,-4,9.7,10,2.73,-0.09,0.002,1.002,-0.581,,90,,,,29.86,121.500,131.425,116.200,VOR2,,TRM,,162,347,,+0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,26.1,1275,,,,040007FF D22 D22 *,480117FF N100 N44,0.3,0.3,2,2,,1200,ALT,29.7,0,2,79,14,0.0,0.0,-4,80,78,13.3,-9,70,65,OIL PRESS / TRAFFIC FAIL,
