#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="625.2",engine_hours="363.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-05-22,07:34:30,15:34:30,-08:00,+33.6363209,-116.1611543,-116,3D-,488087.9,0.0,,0,0,0.00,,36,198,7,54,-87,1,9.2,10,,,0.014,1.002,-0.326,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.38,,,,,,,Powerup,,,,,,,,,,,,-10.8,30.0,1795,,,,081101F8 A32 A32 *,080197FF N18 D45,,,2,2,,,,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:30,15:34:30,-08:00,+33.6363209,-116.1611543,-116,3D-,488087.9,0.0,,0,0,0.00,,36,198,7,54,-87,1,9.2,10,,,0.014,1.002,-0.327,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.38,,,,,,,Powerup,,,,,,,,,,,,-10.8,30.0,1795,,,,081101F8 A32 A32 *,080197FF N18 D45,,,2,2,,,,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:30,15:34:30,-08:00,+33.6363230,-116.1611537,-114,3D-,488088.4,0.0,,0,0,0.00,,33,170,7,54,-87,1,9.2,9,,,0.014,1.002,-0.337,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.38,,,,,,,Powerup,,,,,,,,,,,,-10.8,30.0,1795,,,,081101F8 A33 A33 *,080197FF N19 D50,,,3,2,L+,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:31,15:34:31,-08:00,+33.6363256,-116.1611519,-112,3D-,488089.4,0.0,,0,0,0.00,,29,137,7,54,-87,-0,9.1,9,,,0.014,1.002,-0.354,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.38,,,,,,,Powerup,,,,,,,,,,,,-10.8,30.0,1794,,,,081101F8 A36 A36 *,080197FF N23 D59,,,2,2,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:32,15:34:32,-08:00,+33.6363275,-116.1611498,-110,3D-,488090.4,0.0,,0,0,0.00,,27,116,7,53,-87,-1,9.1,9,,,0.014,1.002,-0.359,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.37,,,,,,,Powerup,,,,,,,,,,,,-10.8,30.0,1795,,,,081101F8 A39 A39 *,080197FF N27 D71,,,2,2,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:33,15:34:33,-08:00,+33.6363290,-116.1611469,-108,3D-,488091.4,0.0,,0,0,0.00,,25,100,7,53,-87,-3,9.0,9,,,0.014,1.002,-0.378,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.37,,,,,,,PFT,,,,,,,,,,,,-10.8,30.1,1795,,,,081101F8 A42 A42 *,080197FF N31 D81,,,3,2,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:34,15:34:34,-08:00,+33.6363300,-116.1611441,-106,3D-,488092.4,0.0,,0,0,0.00,,24,89,7,54,-87,-2,8.9,9,,,0.014,1.002,-0.456,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.37,,,,,,,PFT,,,,,,,,,,,,-10.8,30.1,1796,,,,081101F8 A45 A45 *,080197FF N35 D91,,,3,2,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:35,15:34:35,-08:00,+33.6363310,-116.1611415,-105,3D-,488093.4,0.0,,0,0,0.00,,23,80,7,54,-87,1,8.9,9,,,0.014,1.002,-0.554,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.37,,,,,,,PFT,,,,,,,,,,,,-10.8,30.1,1796,,,,081101F8 A48 A48 *,080197FF N39 D99,,,2,1,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
2026-05-22,07:34:36,15:34:36,-08:00,+33.6363320,-116.1611394,-104,3D-,488094.4,0.0,,0,0,0.01,,22,73,7,54,-87,3,8.9,9,,,0.014,1.003,-0.650,,161,,,,29.77,121.500,131.425,116.200,VOR2,,TRM,,163,167,,-0.38,,,,,,,PFT,,,,,,,,,,,,-10.8,30.1,1796,,,,081101F8 A51 A51 *,080197FF N43 D99,,,4,5,,1200,ALT,29.5,0,2,79,14,0.0,0.2,-6,78,79,13.3,-6,70,70,OIL PRESS,
