#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="615.4",engine_hours="361.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-05-18,15:52:20,23:52:20,-08:00,+33.6363222,-116.1614703,-389,3D-,172357.9,0.0,,0,0,0.04,117.3,114,1147,7,12,-286,1,10.4,11,2.30,0.31,-0.006,1.000,-0.449,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,146,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N17 N17 *,080197FF N100 N100,0.2,0.4,14,9,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:20,23:52:20,-08:00,+33.6363222,-116.1614703,-389,3D-,172357.9,0.0,,0,0,0.04,117.3,114,1147,7,12,-286,1,10.4,11,2.30,0.31,-0.006,1.000,-0.449,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,146,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N17 N17 *,080197FF N100 N100,0.2,0.4,14,9,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:20,23:52:20,-08:00,+33.6363012,-116.1614815,-386,3D-,172358.2,0.0,,0,0,0.04,117.3,108,1046,7,12,-286,1,10.4,11,2.36,0.29,-0.005,1.000,-0.452,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,146,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N19 N19 *,080197FF N100 N100,0.2,0.4,9,11,HWF,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:21,23:52:21,-08:00,+33.6362468,-116.1615103,-376,3D-,172359.3,0.0,,0,0,0.03,117.3,95,837,7,12,-286,-1,10.4,11,2.35,0.29,-0.005,1.005,-0.446,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,148,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N23 N23 *,080197FF N100 N100,0.2,0.4,6,8,HWF,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:22,23:52:22,-08:00,+33.6362001,-116.1615392,-371,3D-,172360.2,0.0,,0,0,0.02,117.3,85,692,7,12,-286,2,10.4,11,2.28,0.33,-0.007,1.001,-0.432,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,148,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N27 N27 *,080197FF N100 N100,0.3,0.4,6,7,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:23,23:52:23,-08:00,+33.6361749,-116.1615505,-365,3D-,172361.2,0.0,,0,0,0.02,117.2,78,590,7,12,-286,3,10.4,11,2.34,0.31,-0.004,1.002,-0.420,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,149,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N31 N31 *,080197FF N100 N100,0.2,0.4,5,4,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:24,23:52:24,-08:00,+33.6361506,-116.1615643,-360,3D-,172362.2,0.0,,0,0,0.02,117.2,72,514,7,12,-286,1,10.4,11,2.36,0.31,-0.004,0.988,-0.414,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,147,302,,-1.00,,,,,,,,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N32 N32 *,080197FF N100 N100,0.2,0.4,15,10,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:25,23:52:25,-08:00,+33.6361285,-116.1615772,-354,3D-,172363.2,0.0,,0,0,0.01,117.2,68,453,7,12,-286,-1,10.4,11,2.35,0.31,-0.005,1.000,-0.411,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,146,302,,-1.00,,,,,,,,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N32 N32 *,080197FF N100 N100,0.2,0.4,7,10,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
2026-05-18,15:52:26,23:52:26,-08:00,+33.6361075,-116.1615912,-348,3D-,172364.2,0.0,,0,0,0.01,117.2,63,402,7,12,-286,3,10.4,11,2.34,0.30,-0.007,1.002,-0.410,,309,,,,29.60,123.000,121.500,116.200,VOR2,,TRM,,146,302,,-1.00,,,,,,,,,,,,,,,,,,,-10.8,31.8,1937,,,,081107FF N32 N32 *,080197FF N100 N100,0.2,0.4,3,3,,1200,ALT,29.7,0,2,84,14,0.0,0.0,6,,84,13.4,-5,75,75,OIL PRESS,
