#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.9",engine_hours="439.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,22:31:53,05:31:53,-07:00,+33.6361551,-116.1608281,-110,3D-,279130.5,0.0,,0,0,-0.04,,84,1774,10,10,-196,9,10.7,11,,,-0.005,1.002,-0.421,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A37 A37 *,080197FF N23 D62,,,2,2,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:53,05:31:53,-07:00,+33.6361551,-116.1608281,-110,3D-,279130.5,0.0,,0,0,-0.04,,84,1774,10,10,-196,9,10.7,11,,,-0.005,1.002,-0.421,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A37 A37 *,080197FF N23 D62,,,2,2,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:53,05:31:53,-07:00,+33.6361588,-116.1608456,-121,3D-,279131.5,0.0,,0,0,-0.03,,77,1499,10,10,-196,24,10.6,11,,,-0.005,1.001,-0.452,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A40 A40 *,080197FF N27 D71,,,3,2,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:54,05:31:54,-07:00,+33.6361658,-116.1608555,-128,3D-,279132.4,0.0,,0,0,-0.02,,73,1348,10,10,-196,21,10.7,11,,,-0.000,1.001,-0.470,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A42 A42 *,080197FF N31 D79,,,9,6,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:55,05:31:55,-07:00,+33.6361729,-116.1608636,-136,3D-,279133.4,0.0,,0,0,-0.01,,70,1210,10,9,-196,11,11.0,11,,,-0.006,1.000,-0.475,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A45 A45 *,080197FF N35 D88,,,3,3,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:56,05:31:56,-07:00,+33.6361711,-116.1608541,-147,3D-,279134.4,0.0,,0,0,-0.01,,65,1058,10,10,-196,5,10.5,11,,,-0.008,1.001,-0.482,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2365,,,,081101F8 A48 A48 *,080197FF N39 D98,,,4,3,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:57,05:31:57,-07:00,+33.6361683,-116.1608531,-148,3D-,279135.4,0.0,,0,0,-0.01,,62,964,10,10,-196,8,10.6,11,,,-0.005,1.000,-0.487,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2366,,,,081101F8 A51 A51 *,080197FF N43 D99,,,3,4,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:58,05:31:58,-07:00,+33.6361661,-116.1608512,-147,3D-,279136.4,0.0,,0,0,-0.01,,60,891,10,10,-195,13,10.8,11,,,-0.005,1.000,-0.486,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2366,,,,081101F8 A54 A54 *,080197FF N47 D99,,,2,2,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:31:59,05:31:59,-07:00,+33.6361628,-116.1608467,-144,3D-,279137.4,0.0,,0,0,-0.01,,57,822,10,10,-195,10,10.6,11,,,-0.008,1.003,-0.496,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2366,,,,081101F8 A57 A57 *,080197FF N51 D99,,,5,4,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
2026-07-21,22:32:00,05:32:00,-07:00,+33.6361592,-116.1608407,-144,3D-,279138.4,0.0,,0,0,-0.00,,55,760,10,10,-195,3,10.7,11,,,-0.006,1.002,-0.501,,348,,,,29.70,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,35.7,2366,,,,081101F8 A60 A60 *,080197FF N55 D99,,,3,3,,1200,ALT,29.6,0,2,109,13,0.0,0.0,14,110,109,12.9,-6,95,90,OIL PRESS,
