#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="751.6",engine_hours="421.8"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-15,09:03:50,16:03:50,-07:00,+33.6363509,-116.1610224,-69,3D-,317048.0,0.2,,0,0,-0.12,,39,220,9,23,-127,-7,10.6,11,,,0.009,1.001,-0.693,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,Powerup,,,,,,,,,,,,-10.8,38.9,2731,,,,081101F8 A37 A37 *,080197FF N23 D62,,,3,3,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,270,OIL PRESS,
2026-07-15,09:03:51,16:03:51,-07:00,+33.6363529,-116.1610286,-66,3D-,317049.0,0.0,,0,0,-0.08,,34,172,9,23,-127,-8,10.9,12,,,0.009,1.001,-0.684,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,Powerup,,,,,,,,,,,,-10.8,39.0,2731,,,,081101F8 A40 A40 *,080197FF N27 D71,,,3,3,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,270,OIL PRESS,
2026-07-15,09:03:52,16:03:52,-07:00,+33.6363574,-116.1610318,-64,3D-,317049.9,0.0,,0,0,-0.05,,31,140,9,23,-127,-3,11.1,11,,,0.008,1.001,-0.662,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2731,,,,081101F8 A43 A43 *,080197FF N31 D79,,,3,2,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,270,OIL PRESS,
2026-07-15,09:03:53,16:03:53,-07:00,+33.6363623,-116.1610358,-63,3D-,317050.9,0.0,,0,0,-0.04,,29,119,9,23,-127,-1,11.0,11,,,0.010,1.002,-0.631,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2731,,,,081101F8 A46 A46 *,080197FF N35 D88,,,3,2,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,270,OIL PRESS,
2026-07-15,09:03:54,16:03:54,-07:00,+33.6363619,-116.1610369,-63,3D-,317051.9,0.0,,0,0,-0.03,,27,104,9,22,-127,-6,10.6,11,,,0.010,1.000,-0.612,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2731,,,,081101F8 A49 A49 *,080197FF N39 D98,,,4,5,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,270,OIL PRESS,
2026-07-15,09:03:55,16:03:55,-07:00,+33.6363623,-116.1610378,-63,3D-,317052.9,0.0,,0,0,-0.02,,25,91,9,22,-127,-7,10.7,11,,,0.012,0.999,-0.604,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2732,,,,081101F8 A52 A52 *,080197FF N43 D99,,,4,4,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,265,OIL PRESS,
2026-07-15,09:03:56,16:03:56,-07:00,+33.6363901,-116.1610230,-68,3D-,317053.9,0.0,,0,0,-0.02,,21,79,9,23,-127,-5,10.8,11,,,0.010,1.001,-0.598,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2732,,,,081101F8 A55 A55 *,080197FF N47 D99,,,3,4,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,260,265,OIL PRESS,
2026-07-15,09:03:57,16:03:57,-07:00,+33.6363891,-116.1610221,-68,3D-,317054.9,0.0,,0,0,-0.02,,20,70,9,23,-127,1,11.2,12,,,0.007,1.001,-0.573,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2732,,,,081101F8 A58 A58 *,080197FF N51 D99,,,3,3,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,255,265,OIL PRESS,
2026-07-15,09:03:58,16:03:58,-07:00,+33.6363879,-116.1610215,-68,3D-,317055.9,0.0,,0,0,-0.01,,20,64,9,23,-126,8,11.6,12,,,0.010,0.999,-0.536,,166,,,,29.76,123.000,121.500,116.200,VOR2,,TRM,,161,167,,-0.58,,,,,,,PFT,,,,,,,,,,,,-10.8,39.0,2732,,,,081101F8 A61 A61 *,080197FF N55 D99,,,4,3,,1200,ALT,29.9,0,2,175,10,0.0,0.2,-8,187,135,13.2,-5,255,265,OIL PRESS,
