#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="674.6",engine_hours="379.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-08,10:22:02,18:22:02,-08:00,+32.6604395,-114.6103423,184,3D-,152539.5,0.0,,0,0,0.05,,39,287,10,322,191,8,9.8,10,,,-0.007,1.001,-0.836,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,Powerup,,,,,,,,,,,,-10.3,34.5,2616,,,,081101F8 A34 A34 *,080197FF N20 D50,,,5,5,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-5,245,200,OIL PRESS,
2026-06-08,10:22:02,18:22:02,-08:00,+32.6604395,-114.6103423,184,3D-,152539.5,0.0,,0,0,0.05,,39,287,10,322,191,8,9.8,10,,,-0.007,1.001,-0.836,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,Powerup,,,,,,,,,,,,-10.3,34.5,2616,,,,081101F8 A34 A34 *,080197FF N20 D50,,,5,5,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-5,245,200,OIL PRESS,
2026-06-08,10:22:02,18:22:02,-08:00,+32.6604388,-114.6103403,183,3D-,152540.4,0.0,,0,0,0.04,,34,222,10,321,191,2,10.1,11,,,-0.006,1.002,-0.838,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,Powerup,,,,,,,,,,,,-10.3,34.5,2616,,,,081101F8 A37 A37 *,080197FF N23 D59,,,4,4,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:03,18:22:03,-08:00,+32.6604401,-114.6103393,182,3D-,152541.4,0.0,,0,0,0.03,,31,173,10,322,191,-3,10.5,11,,,-0.009,1.002,-0.846,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,Powerup,,,,,,,,,,,,-10.3,34.5,2616,,,,081101F8 A40 A40 *,080197FF N27 D69,,,9,7,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:04,18:22:04,-08:00,+32.6604407,-114.6103390,180,3D-,152542.4,0.0,,0,0,0.02,,28,142,10,322,191,1,10.1,11,,,-0.014,1.001,-0.840,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,PFT,,,,,,,,,,,,-10.3,34.5,2617,,,,081101F8 A43 A43 *,080197FF N31 D79,,,9,8,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:05,18:22:05,-08:00,+32.6604390,-114.6103563,184,3D-,152543.4,0.0,,0,0,0.02,,26,120,10,322,191,3,10.4,11,,,-0.007,1.000,-0.845,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,PFT,,,,,,,,,,,,-10.3,34.6,2618,,,,081101F8 A46 A46 *,080197FF N35 D88,,,6,6,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:06,18:22:06,-08:00,+32.6604384,-114.6103735,189,3D-,152544.4,0.0,,0,0,0.02,,24,103,10,322,191,6,10.6,11,,,-0.008,1.000,-0.836,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,PFT,,,,,,,,,,,,-10.3,34.6,2619,,,,081101F8 A49 A49 *,080197FF N39 D98,,,8,9,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:07,18:22:07,-08:00,+32.6604342,-114.6103876,193,3D-,152545.4,0.0,,0,0,0.01,,22,90,10,322,191,8,10.9,11,,,-0.005,1.000,-0.809,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,PFT,,,,,,,,,,,,-10.3,34.6,2621,,,,081101F8 A52 A52 *,080197FF N43 D99,,,6,7,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
2026-06-08,10:22:08,18:22:08,-08:00,+32.6604341,-114.6103902,195,3D-,152546.4,0.0,,0,0,0.01,,21,80,10,321,191,-2,10.4,11,,,-0.010,1.000,-0.775,,354,,,,29.78,131.225,121.500,116.800,VOR2,,,,,256,,,,,,,,,PFT,,,,,,,,,,,,-10.3,34.6,2622,,,,081101F8 A55 A55 *,080197FF N47 D99,,,10,9,,5701,ALT,29.6,0,1,173,9,0.0,0.9,-9,193,200,13.2,-6,245,200,OIL PRESS,
