#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="778.4",engine_hours="439.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-21,07:26:15,14:26:15,-07:00,+33.6363294,-116.1609276,-133,3D-,224792.6,0.0,,0,0,0.05,,36,349,9,12,-222,15,13.7,14,,,0.007,0.995,+0.092,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.64,,,,,,,Powerup,,,,,,,,,,,,0.0,33.6,2131,,,,081101F8 A35 A35 *,080197FF N22 D55,,,28,26,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:15,14:26:15,-07:00,+33.6363294,-116.1609276,-133,3D-,224792.6,0.0,,0,0,0.05,,36,349,9,12,-222,15,13.7,14,,,0.007,0.995,+0.092,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.64,,,,,,,Powerup,,,,,,,,,,,,0.0,33.6,2131,,,,081101F8 A35 A35 *,080197FF N22 D55,,,28,26,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:15,14:26:15,-07:00,+33.6363287,-116.1609291,-133,3D-,224793.1,0.0,,0,0,0.04,,35,319,9,12,-221,16,15.1,16,,,0.010,1.003,+0.058,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.63,,,,,,,Powerup,,,,,,,,,,,,0.0,33.6,2131,,,,081101F8 A36 A36 *,080197FF N23 D59,,,26,25,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:16,14:26:16,-07:00,+33.6363271,-116.1609325,-134,3D-,224794.1,0.0,,0,0,0.03,,32,263,9,12,-221,12,16.2,17,,,0.007,1.001,+0.001,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.63,,,,,,,Powerup,,,,,,,,,,,,0.0,33.5,2131,,,,081101F8 A39 A39 *,080197FF N24 D69,,,30,28,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:17,14:26:17,-07:00,+33.6363250,-116.1609343,-135,3D-,224795.1,0.0,,0,0,0.02,,30,224,9,10,-222,-3,15.5,16,,,0.009,1.001,-0.046,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.63,,,,,,,PFT,,,,,,,,,,,,0.0,33.5,2130,,,,081101F8 A42 A42 *,080197FF N26 D79,,,18,20,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:18,14:26:18,-07:00,+33.6363228,-116.1609351,-133,3D-,224796.1,0.0,,0,0,0.02,,28,196,9,10,-223,-21,12.3,13,,,0.004,1.002,-0.110,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.63,,,,,,,PFT,,,,,,,,,,,,0.0,33.5,2129,,,,081101F8 A45 A45 *,080197FF N30 D91,,,15,15,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:19,14:26:19,-07:00,+33.6363204,-116.1609376,-133,3D-,224797.1,0.0,,0,0,0.02,,27,176,9,11,-223,-17,8.7,9,,,0.014,1.002,-0.241,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.63,,,,,,,PFT,,,,,,,,,,,,0.0,33.6,2130,,,,081101F8 A48 A48 *,080197FF N34 D99,,,17,17,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:20,14:26:20,-07:00,+33.6362997,-116.1609162,-128,3D-,224798.1,0.0,,0,0,0.01,,25,158,9,12,-222,3,10.0,9,,,0.012,1.003,+0.041,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.64,,,,,,,PFT,,,,,,,,,,,,0.0,33.6,2131,,,,081101F8 A51 A51 *,080197FF N37 D99,,,15,14,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
2026-07-21,07:26:21,14:26:21,-07:00,+33.6362924,-116.1609173,-125,3D-,224799.1,0.0,,0,0,0.01,,24,134,9,12,-222,15,12.7,13,,,0.004,1.000,+0.226,,320,,,,29.67,123.000,121.500,116.200,VOR2,,TRM,,161,347,,+0.64,,,,,,,PFT,,,,,,,,,,,,0.0,33.6,2132,,,,081101F8 A54 A54 *,080197FF N41 D99,,,12,19,,1200,ALT,29.7,0,2,92,14,0.0,0.1,-4,93,92,13.1,-6,85,85,OIL PRESS,
