#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="698.4",engine_hours="389.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-27,07:04:59,15:04:59,-08:00,+33.6345458,-116.1601014,-702,3D-,572717.0,73.8,167,8,-38,-25.76,,122,2827,8,18,-123,-11,10.0,10,,,0.011,1.004,-0.139,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,Powerup,,,,,,,,,,,,-10.8,26.9,1400,0,,,081101F8 A40 A40 *,080197FF N27 D67,,,10,11,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:00,15:05:00,-08:00,+33.6342116,-116.1599893,-780,3D-,572717.9,74.8,168,8,-38,-26.11,,123,2849,8,18,-122,-6,13.2,13,,,0.008,1.002,-0.182,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1400,0,,,081101F8 A43 A43 *,080197FF N31 D74,,,8,11,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:01,15:05:01,-08:00,+33.6338469,-116.1598532,-863,3D-,572719.0,75.6,168,9,-38,-26.34,,123,2874,7,18,-122,6,13.1,13,,,0.005,1.002,-0.224,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1400,0,,,081101F8 A46 A46 *,080197FF N35 D86,,,17,19,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:02,15:05:02,-08:00,+33.6363701,-116.1610091,-117,3D- (SFD1),572701.6,34.6,,-0,-0,0.37,,84,642,7,18,-122,8,13.6,14,,,0.011,1.003,-0.264,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1400,0,,,081101F8 A49 A49 *,080197FF N39 D95,,,10,13,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:03,15:05:03,-08:00,+33.6359034,-116.1605376,-455,3D-,572720.8,11.7,,15,-43,-0.25,,206,25361,6,18,-122,4,13.5,14,,,0.012,0.998,-0.277,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1400,,,,081101F8 A52 A52 *,080197FF N43 D99,,,6,7,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:04,15:05:04,-08:00,+33.6357763,-116.1604230,-483,3D-,572721.8,77.7,161,14,-43,-0.29,,210,16443,7,19,-122,6,12.6,13,,,0.011,1.002,-0.273,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1401,,,,081101F8 A55 A55 *,080197FF N47 D99,,,10,13,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:05,15:05:05,-08:00,+33.6355453,-116.1602453,,2D-,572722.8,85.4,162,14,-42,,,219,286660,5,19,-122,8,10.0,10,,,0.011,1.002,-0.286,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1401,,,,081101F8 A58 A58 *,080197FF N51 D99,,,11,10,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:06,15:05:06,-08:00,+33.6352874,-116.1601413,-553,3D-,572723.8,85.6,162,13,-42,-0.36,,204,11389,6,19,-122,7,13.3,14,,,0.010,1.004,-0.297,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1401,,,,081101F8 A61 A61 *,080197FF N55 D99,,,11,13,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
2026-06-27,07:05:07,15:05:07,-08:00,+33.6350006,-116.1601132,-531,3D-,572724.8,84.5,164,12,-42,-0.39,,202,11011,5,18,-122,2,11.9,12,,,0.008,0.999,-0.272,,12,,,,29.77,123.000,121.500,116.200,VOR2,,TRM,,166,302,,-1.00,,,,,,,PFT,,,,,,,,,,,,-10.8,26.9,1401,,,,081101F8 A64 A64 *,080197FF N59 D99,,,9,9,,1200,ALT,29.9,0,2,179,6,0.0,0.7,5,193,190,13.2,-6,205,220,OIL PRESS,
