#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="788.8",engine_hours="445.7"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-23,07:55:47,14:55:47,-07:00,+33.6339159,-116.1653577,-461,3D-,399365.4,0.0,,0,0,-0.05,,52,1057,9,33,-191,2,9.6,10,,,-0.008,1.002,-0.576,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A35 A35 *,080197FF N22 D50,,,2,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:47,14:55:47,-07:00,+33.6339159,-116.1653577,-461,3D-,399365.4,0.0,,0,0,-0.05,,52,1057,9,33,-191,2,9.6,10,,,-0.008,1.002,-0.576,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A35 A35 *,080197FF N22 D50,,,2,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:48,14:55:48,-07:00,+33.6339124,-116.1653570,-458,3D-,399365.8,0.0,,0,0,-0.05,,49,937,9,33,-191,2,9.6,10,,,-0.008,1.002,-0.572,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A37 A37 *,080197FF N23 D52,,,3,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:49,14:55:49,-07:00,+33.6339066,-116.1653560,-454,3D-,399366.8,0.0,,0,0,-0.04,,43,767,10,33,-191,2,9.7,10,,,-0.008,1.002,-0.561,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A39 A39 *,080197FF N27 D62,,,2,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:50,14:55:50,-07:00,+33.6339329,-116.1651327,43,3D- (SFD1),399349.6,0.6,,-0,1,0.26,,469,25171,5,33,-191,4,9.7,10,,,-0.008,1.002,-0.541,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A42 A42 *,080197FF N31 D71,,,2,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:51,14:55:51,-07:00,+33.6338205,-116.1657347,-203,3D-,399368.7,0.7,,0,0,-0.00,,48,5664,9,33,-191,4,9.8,10,,,-0.008,1.002,-0.514,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A45 A45 *,080197FF N35 D81,,,2,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:52,14:55:52,-07:00,+33.6338209,-116.1657355,-204,3D-,399369.7,0.1,,0,0,-0.00,,51,3424,10,33,-191,5,9.8,10,,,-0.008,1.002,-0.497,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,36.2,2447,,,,081101F8 A48 A48 *,080197FF N39 D93,,,3,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:53,14:55:53,-07:00,+33.6338108,-116.1657266,-204,3D,399370.7,0.0,,0,0,0.01,,52,2396,10,33,-191,3,9.9,10,,,-0.008,1.002,-0.475,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,36.2,2447,,,,080001F8 A51 A51 *,480197FF N43 D99,,,3,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
2026-07-23,07:55:54,14:55:54,-07:00,+33.6338068,-116.1657215,-198,3D,399371.7,0.0,,0,0,0.00,,53,1832,10,33,-191,2,9.8,10,,,-0.008,1.002,-0.455,,353,,,,29.68,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,36.2,2447,,,,040001F8 A54 A54 *,480117FF N47 D99,,,3,2,,1200,ALT,29.8,0,2,134,4,0.0,0.6,2,131,124,13.2,-6,105,105,OIL PRESS,
