#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N397EA",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="798.8",engine_hours="452.8"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-27,17:08:25,00:08:25,-07:00,+33.5706355,-117.1321842,1081,3D-,173323.1,2.1,,1,0,0.18,,373,20,5,1342,1396,12,10.0,11,,,-0.003,1.000,-0.858,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A36 A36 *,080197FF N23 D59,,,3,2,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:25,00:08:25,-07:00,+33.5706355,-117.1321842,1081,3D-,173323.1,2.1,,1,0,0.18,,373,20,5,1342,1396,12,10.0,11,,,-0.003,1.000,-0.858,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A36 A36 *,080197FF N23 D59,,,3,2,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:25,00:08:25,-07:00,+33.5706357,-117.1321829,1081,3D-,173323.2,2.1,,1,0,0.18,,373,20,5,1342,1396,12,10.0,11,,,-0.003,1.001,-0.853,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A37 A37 *,080197FF N23 D59,,,3,2,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:26,00:08:26,-07:00,+33.5706413,-117.1320963,1082,3D-,173324.1,1.8,,1,0,0.17,,311,20,5,1342,1396,10,10.0,11,,,-0.003,1.001,-0.802,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A39 A39 *,080197FF N27 D69,,,2,3,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:27,00:08:27,-07:00,+33.5706500,-117.1320319,1083,3D-,173325.1,1.6,,1,0,0.16,,272,20,5,1342,1396,6,10.1,11,,,-0.003,1.001,-0.752,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A42 A42 *,080197FF N31 D79,,,3,2,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:28,00:08:28,-07:00,+33.5706532,-117.1319473,1084,3D-,173326.1,1.5,,1,0,0.16,,238,20,6,1342,1396,4,9.9,11,,,-0.007,0.998,-0.717,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A45 A45 *,080197FF N35 D88,,,3,2,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:29,00:08:29,-07:00,+33.5706562,-117.1318886,1084,3D-,173327.1,1.4,,1,0,0.15,,209,20,6,1342,1396,1,10.1,11,,,-0.001,1.002,-0.682,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A48 A48 *,080197FF N39 D99,,,3,4,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:30,00:08:30,-07:00,+33.5706574,-117.1318610,1085,3D-,173328.1,1.2,,1,0,0.15,,185,20,6,1342,1396,1,10.0,11,,,-0.005,1.002,-0.654,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A51 A51 *,080197FF N43 D99,,,3,3,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
2026-07-27,17:08:31,00:08:31,-07:00,+33.5706573,-117.1318248,1086,3D-,173329.1,1.2,,1,0,0.15,,168,20,6,1342,1396,-2,10.1,11,,,-0.001,1.006,-0.631,,251,,,,29.98,122.800,121.500,115.500,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-11.0,35.1,3918,,,,081101F8 A54 A54 *,080197FF N47 D99,,,3,3,,1200,ALT,28.4,0,1,134,10,0.0,0.3,5,136,128,13.1,-6,100,100,OIL PRESS,
