#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="659.5",engine_hours="374.5"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-04,13:15:41,21:15:41,-08:00,+33.6360868,-116.1610139,-122,3D-,422159.0,0.0,,0,0,-0.07,,91,892,8,87,-62,6,7.2,8,,,-0.030,0.998,-0.245,,166,,,,29.76,121.500,123.000 RX,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.3,3055,,,,081101F8 A33 A33 *,080197FF N19 D47,,,19,21,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:41,21:15:41,-08:00,+33.6360868,-116.1610139,-122,3D-,422159.0,0.0,,0,0,-0.07,,91,892,8,87,-62,6,7.2,8,,,-0.030,0.998,-0.245,,166,,,,29.76,121.500,123.000 RX,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.3,3055,,,,081101F8 A33 A33 *,080197FF N19 D47,,,19,21,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:41,21:15:41,-08:00,+33.6360886,-116.1610187,-125,3D-,422159.2,0.0,,0,0,-0.06,,84,777,8,87,-62,3,10.6,11,,,-0.030,1.003,-0.345,,166,,,,29.76,121.500,123.000 RX,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.3,3055,,,,081101F8 A34 A34 *,080197FF N19 D50,,,15,18,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:42,21:15:42,-08:00,+33.6360915,-116.1610282,-128,3D-,422160.3,0.0,,0,0,-0.04,,73,606,8,86,-63,-8,10.5,11,,,-0.021,1.002,-0.647,,166,,,,29.76,121.500,123.000 RX,116.200,VOR2,,TRM,,162,167,,-0.55,,,,,,,Powerup,,,,,,,,,,,,-10.8,41.3,3055,,,,081101F8 A37 A37 *,080197FF N23 D59,,,16,16,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:43,21:15:43,-08:00,+33.6360858,-116.1610346,-129,3D-,422161.2,0.0,,0,0,-0.04,,66,498,8,87,-63,-11,11.4,12,,,-0.027,1.003,-0.797,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3055,,,,081101F8 A40 A40 *,080197FF N27 D67,,,7,17,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:44,21:15:44,-08:00,+33.6361024,-116.1610169,-123,3D-,422162.2,0.0,,0,0,-0.03,,49,437,7,87,-63,-2,12.9,13,,,-0.025,0.999,-0.799,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.53,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3056,,,,081101F8 A43 A43 *,080197FF N31 D79,,,8,6,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:45,21:15:45,-08:00,+33.6360985,-116.1610149,-121,3D-,422163.2,0.0,,0,0,-0.02,,45,379,8,87,-62,4,12.4,13,,,-0.028,1.002,-0.700,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,081101F8 A46 A46 *,080197FF N35 D86,,,4,6,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:46,21:15:46,-08:00,+33.6360975,-116.1610140,-121,3D-,422164.2,0.0,,0,0,-0.02,,42,327,8,86,-63,-3,12.0,13,,,-0.025,1.004,-0.575,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3056,,,,081101F8 A49 A49 *,080197FF N39 D95,,,8,7,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:47,21:15:47,-08:00,+33.6360953,-116.1610156,-122,3D,422165.2,0.0,,0,0,-0.01,,39,298,8,87,-63,-3,12.7,13,,,-0.027,1.002,-0.455,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,040001F8 A52 A52 *,480117FF N43 D99,,,14,18,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:48,21:15:48,-08:00,+33.6360956,-116.1610182,-126,3D-,422166.2,0.0,,0,0,-0.01,,36,271,8,87,-62,5,12.5,13,,,-0.026,1.000,-0.346,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,020001F8 A52 A52 *,480117FF N47 D99,,,8,10,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:49,21:15:49,-08:00,+33.6360966,-116.1610213,-127,3D-,422167.2,0.0,,0,0,-0.01,,34,250,8,87,-62,6,11.5,12,,,-0.029,0.998,-0.257,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,020001F8 A52 A52 *,480117FF N51 D99,,,6,5,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:50,21:15:50,-08:00,+33.6360962,-116.1610228,-129,3D-,422168.2,0.0,,0,0,-0.01,,33,229,7,87,-63,-3,10.9,11,,,-0.024,1.003,-0.200,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,020001F8 A52 A52 *,480117FF N55 D99,,,17,17,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:51,21:15:51,-08:00,+33.6360943,-116.1610236,-129,3D-,422169.2,0.0,,0,0,-0.01,,31,213,7,87,-63,-3,11.5,12,,,-0.020,1.002,-0.191,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.52,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,020001F8 A52 A52 *,480117FF N59 D99,,,13,17,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:52,21:15:52,-08:00,+33.6360935,-116.1610242,-129,3D-,422170.2,0.0,,0,0,-0.01,,30,198,7,87,-63,-2,10.4,11,,,-0.025,1.004,-0.206,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3057,,,,020001F8 A52 A52 *,480117FF N63 N3,,,9,17,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:53,21:15:53,-08:00,+33.6360937,-116.1610250,-129,3D-,422171.2,0.0,,0,0,-0.01,,29,184,7,87,-63,-4,11.8,12,,,-0.027,0.999,-0.236,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3056,,,,020001F8 A52 A52 *,480117FF N67 N7,,,7,8,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:54,21:15:54,-08:00,+33.6360952,-116.1610262,-129,3D-,422172.3,0.0,,0,0,-0.00,,28,173,8,87,-63,-1,10.9,11,,,-0.025,1.000,-0.298,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3056,,,,020001F8 A52 A52 *,480117FF N71 N10,,,7,7,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:55,21:15:55,-08:00,+33.6360967,-116.1610278,-129,3D-,422173.3,0.0,,0,0,-0.00,,27,162,8,87,-63,3,11.8,12,,,-0.027,1.004,-0.370,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3056,,,,020001F8 A52 A52 *,480117FF N75 N13,,,10,9,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:56,21:15:56,-08:00,+33.6360982,-116.1610290,-129,3D,422174.3,0.0,,0,0,0.00,,26,151,6,86,-63,-4,12.0,13,,,-0.029,1.004,-0.411,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.3,3054,,,,020001F8 A52 A52 *,480117FF N79 N15,,,9,9,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:57,21:15:57,-08:00,+33.6360995,-116.1610293,-129,3D,422175.2,0.0,,0,0,-0.00,,25,141,7,86,-63,-8,12.1,13,,,-0.029,1.003,-0.432,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3053,,,,040001F8 A55 A55 *,480117FF N83 N19,,,5,7,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS,
2026-06-04,13:15:58,21:15:58,-08:00,+33.6361011,-116.1610301,-129,3D,422176.2,0.0,,0,0,-0.00,,25,132,7,87,-63,-5,11.6,12,,,-0.026,1.002,-0.442,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3052,,,,040001F8 A58 A58 *,480117FF N87 N22,,,5,7,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:15:59,21:15:59,-08:00,+33.6361029,-116.1610316,-130,3D,422177.2,0.0,,0,0,-0.00,,24,123,7,86,-63,-2,11.4,12,,,-0.030,1.000,-0.441,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3052,,,,040001F8 A61 A61 *,480117FF N90 N25,,,8,10,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:16:00,21:16:00,-08:00,+33.6361049,-116.1610322,-129,3D,422178.3,0.0,,0,0,-0.00,,23,109,8,87,-63,-1,10.7,11,,,-0.026,0.999,-0.446,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3051,,,,040001F8 A64 A64 *,480117FF N94 N28,,,4,5,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:16:01,21:16:01,-08:00,+33.6361048,-116.1610295,-125,3D,422179.3,0.0,,0,0,-0.01,,21,85,8,87,-63,7,12.3,13,,,-0.028,1.001,-0.463,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3051,,,,040001F8 A67 A67 *,480117FF N98 N31,,,7,8,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:16:02,21:16:02,-08:00,+33.6361064,-116.1610267,-122,3D,422180.2,0.0,,0,0,-0.00,,20,71,8,87,-62,11,12.6,13,,,-0.032,0.999,-0.449,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3050,,,,040001F8 A70 A70 *,480117FF N100 N35,,,9,9,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:16:03,21:16:03,-08:00,+33.6361082,-116.1610247,-119,3D,422181.3,0.0,,0,0,0.00,,20,62,8,87,-63,7,12.0,13,,,-0.032,1.004,-0.426,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3049,,,,040001F8 A73 A73 *,480117FF N100 N38,,,9,11,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
2026-06-04,13:16:04,21:16:04,-08:00,+33.6361105,-116.1610235,-118,3D,422182.2,0.0,,0,0,0.00,,20,54,8,87,-63,0,12.2,13,,,-0.022,1.003,-0.401,,166,,,,29.76,121.500,123.000,116.200,VOR2,,TRM,,162,167,,-0.51,,,,,,,PFT,,,,,,,,,,,,-10.8,41.2,3048,,,,040001F8 A76 A76 *,480117FF N100 N40,,,8,10,,1200,ALT,29.6,0,1,48,14,0.0,0.5,-8,120,121,13.0,-6,110,105,OIL PRESS / TRAFFIC FAIL,
