#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="712.2",engine_hours="395.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-10,06:20:06,14:20:06,-08:00,+33.6362758,-116.1609597,-149,3D-,483624.4,0.0,,0,0,0.03,,42,248,8,41,-276,3,8.7,9,,,0.004,1.002,-1.012,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.77,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1953,,,,081101F8 A37 A37 *,080197FF N25 D64,,,5,4,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:07,14:20:07,-08:00,+33.6362753,-116.1609614,-151,3D-,483625.2,0.0,,0,0,0.02,,39,213,8,41,-276,-0,9.2,9,,,0.008,1.002,-0.979,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.77,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1952,,,,081101F8 A40 A40 *,080197FF N27 D71,,,9,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:08,14:20:08,-08:00,+33.6362805,-116.1609687,-150,3D-,483626.1,0.0,,0,0,0.02,,30,149,8,41,-276,-3,9.4,10,,,0.002,1.003,-0.931,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1953,,,,081101F8 A43 A43 *,080197FF N31 D81,,,7,8,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:09,14:20:09,-08:00,+33.6362809,-116.1609688,-151,3D-,483627.1,0.0,,0,0,0.01,,27,125,8,41,-276,-4,8.8,9,,,0.005,0.999,-0.873,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1952,,,,081101F8 A46 A46 *,080197FF N35 D91,,,6,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:10,14:20:10,-08:00,+33.6362805,-116.1609691,-152,3D-,483628.1,0.0,,0,0,0.01,,24,108,8,41,-276,2,9.7,10,,,-0.000,1.003,-0.822,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1953,,,,081101F8 A49 A49 *,080197FF N39 D99,,,9,10,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:11,14:20:11,-08:00,+33.6362800,-116.1609695,-153,3D,483629.1,0.0,,0,0,0.00,,23,95,8,41,-276,6,9.8,10,,,0.006,1.001,-0.794,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1953,,,,040001F8 A52 A52 *,480197FF N43 D99,,,8,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:12,14:20:12,-08:00,+33.6362800,-116.1609695,-153,3D,483630.1,0.0,,0,0,0.00,,21,85,8,42,-276,11,10.5,11,,,0.003,1.001,-0.745,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A55 A55 *,480117FF N47 D99,,,9,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:13,14:20:13,-08:00,+33.6362803,-116.1609694,-153,3D,483631.1,0.0,,0,0,0.00,,20,77,8,42,-275,14,10.2,10,,,0.007,1.003,-0.692,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A58 A58 *,480117FF N51 D99,,,7,6,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:14,14:20:14,-08:00,+33.6362805,-116.1609701,-153,3D,483632.1,0.0,,0,0,0.00,,20,70,8,42,-275,14,10.0,10,,,0.005,1.000,-0.627,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A61 A61 *,480117FF N55 D99,,,6,6,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:15,14:20:15,-08:00,+33.6362805,-116.1609710,-153,3D,483633.1,0.0,,0,0,0.00,,20,65,8,42,-275,14,9.5,10,,,0.005,1.002,-0.597,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A64 A64 *,480117FF N59 D99,,,4,5,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:16,14:20:16,-08:00,+33.6362805,-116.1609716,-153,3D,483634.1,0.0,,0,0,0.00,,20,60,8,42,-275,8,6.9,7,,,0.003,1.001,-0.618,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1955,,,,040001F8 A67 A67 *,480117FF N63 N3,,,6,4,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:17,14:20:17,-08:00,+33.6362799,-116.1609721,-153,3D,483635.1,0.0,,0,0,0.00,,20,56,8,42,-275,3,5.0,5,,,0.003,0.999,-0.699,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1955,,,,040001F8 A70 A70 *,480117FF N67 N6,,,6,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:18,14:20:18,-08:00,+33.6362792,-116.1609721,-153,3D,483636.1,0.0,,0,0,0.01,,20,53,8,41,-275,-4,5.0,5,,,0.002,1.003,-1.082,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A73 A73 *,480117FF N71 N9,,,6,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:19,14:20:19,-08:00,+33.6362785,-116.1609724,-153,3D,483637.1,0.0,,0,0,0.00,,20,49,8,41,-276,-10,7.2,7,,,0.001,1.001,-1.756,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A76 A76 *,480117FF N75 N12,,,4,4,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:20,14:20:20,-08:00,+33.6362779,-116.1609729,-153,3D,483638.2,0.0,,0,0,0.01,,20,47,8,41,-276,-9,8.8,9,,,0.007,1.002,-2.221,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A79 A79 *,480117FF N79 N16,,,9,12,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:21,14:20:21,-08:00,+33.6362770,-116.1609732,-153,3D,483639.1,0.0,,0,0,-0.00,,20,44,8,42,-276,-5,9.3,10,,,0.005,0.999,-2.295,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A82 A82 *,480117FF N83 N19,,,12,12,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:22,14:20:22,-08:00,+33.6362760,-116.1609727,-153,3D,483640.1,0.0,,0,0,0.00,,20,42,8,42,-275,2,9.0,9,,,0.007,1.001,-2.123,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A85 A85 *,480117FF N87 N23,,,4,7,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS,
2026-07-10,06:20:23,14:20:23,-08:00,+33.6362749,-116.1609721,-153,3D,483641.1,0.0,,0,0,-0.00,,20,40,8,42,-275,6,9.0,9,,,0.003,1.003,-1.834,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A88 A88 *,480117FF N91 N26,,,8,6,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS / TRAFFIC FAIL,
2026-07-10,06:20:24,14:20:24,-08:00,+33.6362735,-116.1609713,-153,3D,483642.1,0.0,,0,0,0.00,,20,38,8,42,-275,8,9.2,9,,,0.006,1.000,-1.539,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1954,,,,040001F8 A91 A91 *,480117FF N95 N30,,,5,5,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS / TRAFFIC FAIL,
2026-07-10,06:20:25,14:20:25,-08:00,+33.6362720,-116.1609709,-153,3D,483643.1,0.0,,0,0,-0.00,,20,37,8,42,-275,7,9.5,10,,,0.005,1.000,-1.233,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1955,,,,040001F8 A94 A94 *,480117FF N99 N33,,,4,4,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS / TRAFFIC FAIL,
2026-07-10,06:20:26,14:20:26,-08:00,+33.6362703,-116.1609709,-153,3D,483644.1,0.0,,0,0,0.00,,20,35,8,42,-275,5,10.2,10,,,0.006,1.002,-0.934,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.76,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1955,,,,040001F8 A97 A97 *,480117FF N100 N36,,,3,3,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS / TRAFFIC FAIL,
2026-07-10,06:20:27,14:20:27,-08:00,+33.6362684,-116.1609708,-153,3D,483645.1,0.0,,0,0,-0.01,264.6,20,34,8,42,-275,6,9.8,10,2.81,-0.28,0.004,1.004,-0.673,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,159,167,,-0.77,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1955,,,,040007FF A99 A99 *,480117FF N100 N39,0.2,0.3,4,3,,1200,ALT,29.7,0,2,90,14,0.0,0.2,-8,89,91,13.2,-6,80,80,OIL PRESS / TRAFFIC FAIL,
