#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="651.4",engine_hours="372.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-03,07:45:22,15:45:22,-08:00,+33.6363750,-116.1609422,-89,3D,315939.9,0.2,,0,0,0.04,,54,230,8,-55,-149,1,10.5,11,,,0.004,1.001,-0.558,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.31,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1836,,,,040001F8 A32 A32 *,480117FF N18 D45,,,3,2,,,,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:22,15:45:22,-08:00,+33.6363750,-116.1609422,-89,3D,315939.9,0.2,,0,0,0.04,,54,230,8,-55,-149,1,10.5,11,,,0.004,1.001,-0.558,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.31,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1836,,,,040001F8 A32 A32 *,480117FF N18 D45,,,3,2,,,,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:22,15:45:22,-08:00,+33.6363743,-116.1609436,-91,3D,315940.2,0.1,,0,0,0.03,,51,224,8,-55,-149,2,10.5,11,,,0.005,1.001,-0.562,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.31,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1837,,,,040001F8 A33 A33 *,480117FF N19 D50,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:23,15:45:23,-08:00,+33.6363748,-116.1609468,-96,3D,315941.3,0.0,,0,0,0.01,,45,204,8,-55,-149,4,10.4,11,,,0.004,1.001,-0.577,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.31,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1837,,,,040001F8 A35 A35 *,480117FF N23 D59,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:24,15:45:24,-08:00,+33.6363779,-116.1609488,-102,3D,315942.2,0.0,,0,0,0.00,,40,181,8,-55,-149,3,10.5,11,,,0.005,1.001,-0.574,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.33,,,,,,,Powerup,,,,,,,,,,,,-10.8,31.6,1837,,,,040001F8 A38 A38 *,480117FF N27 D69,,,3,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:25,15:45:25,-08:00,+33.6363788,-116.1609513,-106,3D,315943.2,0.0,,0,0,0.00,,36,162,8,-55,-149,0,10.5,11,,,0.004,1.001,-0.565,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.35,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1837,,,,040001F8 A41 A41 *,480117FF N31 D79,,,3,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:26,15:45:26,-08:00,+33.6363791,-116.1609530,-110,3D,315944.2,0.0,,0,0,-0.00,,33,146,8,-55,-149,-1,10.5,11,,,0.005,1.001,-0.546,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.32,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1838,,,,040001F8 A44 A44 *,480117FF N35 D88,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,360,OIL PRESS,
2026-06-03,07:45:27,15:45:27,-08:00,+33.6363789,-116.1609545,-114,3D,315945.2,0.0,,0,0,-0.00,,31,134,8,-55,-149,-2,10.5,11,,,0.005,1.001,-0.527,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.31,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1838,,,,040001F8 A47 A47 *,480117FF N39 D98,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,355,OIL PRESS,
2026-06-03,07:45:28,15:45:28,-08:00,+33.6363801,-116.1609543,-116,3D,315946.2,0.0,,0,0,-0.00,,29,124,8,-55,-149,0,10.5,11,,,0.005,1.001,-0.510,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.30,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1839,,,,040001F8 A50 A50 *,480117FF N43 D99,,,3,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,355,OIL PRESS,
2026-06-03,07:45:29,15:45:29,-08:00,+33.6363824,-116.1609535,-118,3D,315947.2,0.0,,0,0,-0.00,,28,114,8,-55,-149,3,10.6,11,,,0.004,1.001,-0.495,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.30,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1839,,,,040001F8 A53 A53 *,480117FF N47 D99,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,350,355,OIL PRESS,
2026-06-03,07:45:30,15:45:30,-08:00,+33.6363834,-116.1609530,-120,3D,315948.2,0.0,,0,0,0.00,,26,107,8,-55,-149,3,10.6,11,,,0.004,1.001,-0.473,,349,,,,29.82,121.500,123.000,116.200,VOR2,,TRM,,164,167,,-0.29,,,,,,,PFT,,,,,,,,,,,,-10.8,31.6,1840,,,,040001F8 A56 A56 *,480117FF N51 D99,,,2,2,,1200,ALT,29.8,0,1,176,10,0.0,0.7,-3,195,194,13.1,-9,345,355,OIL PRESS,
