#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="684.9",engine_hours="382.6"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-11,09:41:36,17:41:36,-08:00,+33.6363274,-116.1609886,-94,3D-,409313.5,8.4,,5,-3,1.58,,44,650,8,51,-126,-6,11.0,11,,,0.001,1.002,-0.596,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TNM,,159,167,,-0.81,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.6,2510,,,,081101F8 A38 A38 *,080197FF N26 D62,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:36,17:41:36,-08:00,+33.6363217,-116.1609624,-92,3D-,409314.0,10.2,,5,-3,1.58,,43,606,8,51,-126,-6,10.7,11,,,0.003,1.002,-0.592,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TNM,,159,167,,-0.81,,,,,,,Powerup,,,,,,,,,,,,-10.8,36.6,2511,,,,081101F8 A40 A40 *,080197FF N27 D67,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:37,17:41:37,-08:00,+33.6363155,-116.1609244,-90,3D-,409315.0,9.9,,4,-3,1.61,,42,520,8,51,-126,-5,10.7,11,,,0.002,1.001,-0.585,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TNM,,159,167,,-0.81,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2512,,,,081101F8 A43 A43 *,080197FF N31 D76,,,6,6,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:38,17:41:38,-08:00,+33.6363148,-116.1609045,-87,3D-,409316.0,7.9,,3,-2,1.66,,40,443,8,51,-126,-4,11.8,12,,,0.003,1.001,-0.555,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TNM,,159,167,,-0.81,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2513,,,,081101F8 A46 A46 *,080197FF N35 D86,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:39,17:41:39,-08:00,+33.6363054,-116.1608770,-82,3D-,409317.0,8.1,,3,-3,1.76,,38,389,8,52,-126,2,11.1,12,,,0.002,1.000,-0.523,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.82,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2514,,,,081101F8 A49 A49 *,080197FF N39 D95,,,5,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:40,17:41:40,-08:00,+33.6363014,-116.1608675,-77,3D-,409318.0,7.3,,3,-2,1.84,,36,350,8,51,-126,3,10.9,11,,,-0.000,1.001,-0.500,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.82,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2515,,,,081101F8 A52 A52 *,080197FF N43 D99,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,280,OIL PRESS,
2026-06-11,09:41:41,17:41:41,-08:00,+33.6363274,-116.1608955,-87,3D,409319.0,3.0,,0,0,0.62,,33,300,8,51,-126,-1,10.9,11,,,0.002,1.000,-0.482,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2515,,,,080001F8 A55 A55 *,480197FF N47 D99,,,5,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,275,OIL PRESS,
2026-06-11,09:41:42,17:41:42,-08:00,+33.6363411,-116.1609094,-93,3D,409320.0,0.4,,0,0,0.10,,31,265,8,51,-126,-5,10.9,11,,,0.002,1.002,-0.465,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2516,,,,040001F8 A58 A58 *,480117FF N51 D99,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-9,290,275,OIL PRESS,
2026-06-11,09:41:43,17:41:43,-08:00,+33.6363477,-116.1609179,-93,3D,409321.0,0.1,,0,0,0.05,,29,241,8,51,-126,-4,11.1,12,,,0.002,1.001,-0.459,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2516,,,,040001F8 A61 A61 *,480117FF N55 D99,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-8,290,275,OIL PRESS,
2026-06-11,09:41:44,17:41:44,-08:00,+33.6363587,-116.1609304,-96,3D,409322.0,0.0,,0,0,0.03,,28,221,8,51,-126,-6,11.4,12,,,-0.000,1.002,-0.439,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2516,,,,040001F8 A64 A64 *,480117FF N59 D99,,,6,8,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-7,290,275,OIL PRESS,
2026-06-11,09:41:45,17:41:45,-08:00,+33.6363633,-116.1609352,-96,3D,409323.0,0.0,,0,0,0.02,,27,205,7,51,-126,-4,11.6,12,,,0.003,1.000,-0.417,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2516,,,,040001F8 A67 A67 *,480117FF N63 N1,,,5,9,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-7,285,275,OIL PRESS,
2026-06-11,09:41:46,17:41:46,-08:00,+33.6363670,-116.1609387,-96,3D,409324.0,0.0,,0,0,0.02,,26,193,8,51,-126,-2,11.3,12,,,0.004,1.000,-0.397,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.83,,,,,,,PFT,,,,,,,,,,,,-10.8,36.6,2517,,,,040001F8 A70 A70 *,480117FF N67 N5,,,5,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-6,285,275,OIL PRESS,
2026-06-11,09:41:47,17:41:47,-08:00,+33.6363785,-116.1609504,-100,3D,409325.0,0.0,,0,0,0.01,,25,179,8,51,-126,-0,11.1,12,,,0.005,1.002,-0.385,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2517,,,,040001F8 A73 A73 *,480117FF N71 N8,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-6,285,275,OIL PRESS,
2026-06-11,09:41:48,17:41:48,-08:00,+33.6363877,-116.1609597,-103,3D,409326.0,0.0,,0,0,0.01,,24,166,8,51,-126,1,11.2,11,,,0.001,1.001,-0.370,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2518,,,,040001F8 A76 A76 *,480117FF N75 N11,,,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-6,285,275,OIL PRESS,
2026-06-11,09:41:49,17:41:49,-08:00,+33.6363955,-116.1609677,-106,3D,409327.0,0.0,,0,0,0.00,,23,155,8,51,-126,5,11.2,12,,,0.002,1.001,-0.358,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.86,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2518,,,,040001F8 A79 A79 *,480117FF N78 N15,,,4,3,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.1,-6,285,275,OIL PRESS,
2026-06-11,09:41:50,17:41:50,-08:00,+33.6364022,-116.1609741,-109,3D,409328.0,0.0,,0,0,0.00,,22,145,8,51,-126,2,11.0,11,,,0.001,1.002,-0.349,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.86,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2519,,,,040001F8 A82 A82 *,480117FF N82 N18,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,199,203,13.2,-6,285,270,OIL PRESS,
2026-06-11,09:41:51,17:41:51,-08:00,+33.6364069,-116.1609788,-110,3D,409329.0,0.0,,0,0,0.00,,21,137,8,51,-126,-2,10.9,11,,,0.003,1.001,-0.347,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.86,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2520,,,,040001F8 A85 A85 *,480117FF N86 N21,,,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,198,202,13.2,-6,285,270,OIL PRESS,
2026-06-11,09:41:52,17:41:52,-08:00,+33.6364111,-116.1609827,-112,3D,409330.0,0.0,,0,0,0.00,,21,130,8,51,-126,-4,10.7,11,,,0.003,1.002,-0.346,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2520,,,,040001F8 A88 A88 *,480117FF N90 N24,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.7,3,198,202,13.2,-6,285,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:53,17:41:53,-08:00,+33.6364146,-116.1609859,-113,3D,409331.0,0.0,,0,0,0.00,,20,124,9,51,-126,-4,11.1,12,,,0.003,1.001,-0.347,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2521,,,,040001F8 A91 A91 *,480117FF N94 N27,,,4,13,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,285,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:54,17:41:54,-08:00,+33.6364185,-116.1609898,-114,3D,409332.0,0.0,,0,0,0.00,,20,118,8,51,-126,-2,11.2,12,,,0.003,1.001,-0.356,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2521,,,,040001F8 A94 A94 *,480117FF N98 N31,,,3,6,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,285,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:55,17:41:55,-08:00,+33.6364221,-116.1609930,-115,3D,409333.0,0.0,,0,0,0.00,,20,112,8,51,-126,-2,11.3,12,,,0.003,1.002,-0.362,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2522,,,,040001F8 A97 A97 *,480117FF N100 N34,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,285,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:56,17:41:56,-08:00,+33.6364250,-116.1609953,-116,3D,409334.0,0.0,,0,0,0.00,,20,107,8,51,-127,-4,11.3,12,,,0.003,1.002,-0.352,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2522,,,,040007FF A99 A99 *,480117FF N100 N37,,,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:57,17:41:57,-08:00,+33.6364281,-116.1609972,-117,3D,409335.0,0.0,,0,0,0.00,271.7,20,103,8,51,-127,-4,11.2,12,2.66,-0.16,0.003,1.002,-0.338,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2523,,,,040007FF D12 D12 *,480117FF N100 N40,0.3,0.4,2,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:58,17:41:58,-08:00,+33.6364307,-116.1609990,-117,3D,409336.0,0.0,,0,0,0.00,271.6,20,99,8,51,-126,-0,11.2,12,2.66,-0.16,0.002,1.001,-0.310,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2523,,,,040007FF D24 D24 *,480117FF N100 N43,0.3,0.4,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,270,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:41:59,17:41:59,-08:00,+33.6364328,-116.1610001,-118,3D,409337.0,0.0,,0,0,0.00,271.7,20,95,9,51,-126,4,11.4,12,2.66,-0.15,0.002,1.001,-0.282,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2523,,,,040007FF D36 D36 *,480117FF N100 N47,0.2,0.4,2,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:00,17:42:00,-08:00,+33.6364346,-116.1610012,-119,3D,409338.0,0.0,,0,0,0.00,271.7,20,92,9,51,-126,8,11.5,12,2.65,-0.14,0.003,1.001,-0.251,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2524,,,,040007FF D48 D48 *,480117FF N100 N50,0.2,0.4,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:01,17:42:01,-08:00,+33.6364359,-116.1610022,-119,3D,409339.0,0.0,,0,0,0.00,271.7,20,89,9,52,-126,9,11.6,12,2.64,-0.14,0.003,1.001,-0.216,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2524,,,,040007FF D60 D60 *,480117FF N100 N53,0.2,0.4,2,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:02,17:42:02,-08:00,+33.6364369,-116.1610029,-120,3D,409340.0,0.0,,0,0,0.00,271.7,20,86,9,52,-126,11,11.7,12,2.65,-0.15,0.003,1.001,-0.176,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D72 D72 *,480117FF N100 N56,0.2,0.4,2,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:03,17:42:03,-08:00,+33.6364369,-116.1610028,-120,3D,409341.0,0.0,,0,0,0.00,271.7,20,83,9,52,-126,10,11.8,12,2.66,-0.15,0.002,1.001,-0.147,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D84 D84 *,480117FF N100 N60,0.2,0.4,2,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:04,17:42:04,-08:00,+33.6364369,-116.1610029,-120,3D,409342.0,0.0,,0,0,0.00,271.6,20,80,9,52,-126,5,11.7,12,2.66,-0.14,0.003,1.002,-0.137,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D96 D96 *,480117FF N100 N63,0.1,0.4,4,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:05,17:42:05,-08:00,+33.6364369,-116.1610029,-120,3D,409343.0,0.0,,0,0,0.00,271.8,20,78,9,51,-126,-0,11.6,12,2.70,-0.14,0.001,1.002,-0.129,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2524,,,,040007FF D98 D98 *,480117FF N100 N67,0.1,0.4,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:06,17:42:06,-08:00,+33.6364369,-116.1610029,-120,3D,409344.0,0.0,,0,0,0.00,271.8,20,75,9,51,-126,-3,11.5,12,2.76,-0.18,0.003,1.001,-0.122,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2524,,,,040007FF D98 D98 *,480117FF N100 N70,0.1,0.4,2,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,280,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:07,17:42:07,-08:00,+33.6364369,-116.1610028,-120,3D,409345.0,0.0,,0,0,0.00,271.7,20,73,9,52,-126,-2,11.4,12,2.66,-0.13,0.002,1.001,-0.144,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2524,,,,040007FF D98 D98 *,480117FF N100 N73,0.1,0.4,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,275,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:08,17:42:08,-08:00,+33.6364369,-116.1610029,-120,3D,409346.0,0.0,,0,0,0.00,271.6,20,71,9,52,-126,1,11.4,12,2.63,-0.11,0.003,1.002,-0.190,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D98 D98 *,480117FF N100 N76,0.2,0.4,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,275,265,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:09,17:42:09,-08:00,+33.6364369,-116.1610029,-120,3D,409347.0,0.0,,0,0,0.00,271.6,20,69,9,52,-126,2,11.5,12,2.62,-0.10,0.001,1.001,-0.236,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,159,167,,-0.84,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D98 D98 *,480117FF N100 N79,0.2,0.4,7,6,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:10,17:42:10,-08:00,+33.6364370,-116.1610029,-120,3D,409348.0,0.0,,0,0,0.00,271.7,20,67,9,52,-126,3,11.6,12,2.68,-0.12,0.001,1.001,-0.270,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D98 D98 *,480117FF N100 N83,0.1,0.4,5,6,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,202,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:11,17:42:11,-08:00,+33.6364369,-116.1610030,-120,3D,409349.0,0.0,,0,0,0.00,271.7,20,66,9,52,-126,5,11.6,12,2.67,-0.12,0.001,1.001,-0.309,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,PFT,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF D98 D98 *,480017FF N100 N86,0.1,0.4,4,5,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:12,17:42:12,-08:00,+33.6364371,-116.1610029,-120,3D,409350.0,0.0,,0,0,0.00,271.7,20,64,9,52,-125,6,11.5,12,2.63,-0.11,0.002,1.002,-0.339,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.86,,,,,,,,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF N3 N3 *,480017FF N100 N89,0.2,0.4,4,4,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:13,17:42:13,-08:00,+33.6364370,-116.1610030,-120,3D,409351.0,0.0,,0,0,0.00,271.6,20,63,9,52,-125,5,11.5,12,2.60,-0.09,0.001,1.002,-0.364,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.86,,,,,,,,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF N7 N7 *,480017FF N100 N92,0.2,0.4,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:14,17:42:14,-08:00,+33.6364371,-116.1610030,-120,3D,409352.0,0.0,,0,0,0.00,271.6,20,61,9,52,-125,6,11.5,12,2.65,-0.12,0.003,1.001,-0.377,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF N11 N11 *,480017FF N100 N95,0.1,0.4,3,3,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,198,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:15,17:42:15,-08:00,+33.6364371,-116.1610029,-120,3D,409353.0,0.0,,0,0,0.01,271.7,20,60,9,52,-125,5,11.5,12,2.69,-0.14,0.002,1.001,-0.384,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF N15 N15 *,480017FF N100 N99,0.1,0.4,3,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,197,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
2026-06-11,09:42:16,17:42:16,-08:00,+33.6364371,-116.1610030,-120,3D,409354.0,0.0,,0,0,0.00,271.6,20,59,9,52,-125,1,11.4,12,2.61,-0.11,0.002,1.002,-0.391,,158,,,,29.73,131.425,121.500,116.200,VOR2,,TRM,,158,167,,-0.85,,,,,,,,,,,,,,,,,,,-10.8,36.7,2525,,,,040007FF N19 N19 *,480017FF N100 N100,0.2,0.4,2,2,,1200,ALT,29.6,0,1,164,6,0.0,0.8,3,197,201,13.2,-6,275,260,OIL PRESS / TRAFFIC FAIL,
