#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="712.2",engine_hours="395.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-10,05:37:04,13:37:04,-08:00,+33.6363623,-116.1610091,-79,3D,481041.9,0.0,,0,0,0.02,263.7,46,821,7,35,-282,-0,9.1,9,2.42,-0.33,0.005,1.002,-0.435,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,PFT,,,,,,,,,,,,-10.8,31.5,1929,,,,040007FF D98 D98 *,480117FF N100 N68,0.1,0.3,4,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:04,13:37:04,-08:00,+33.6363625,-116.1610084,-81,3D,481042.4,0.0,,0,0,0.01,263.8,43,743,7,35,-282,1,9.1,9,2.42,-0.38,0.005,1.002,-0.429,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.42,,,,,,,PFT,,,,,,,,,,,,-10.8,31.5,1929,,,,040007FF D98 D98 *,480117FF N100 N71,0.1,0.3,3,2,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:05,13:37:05,-08:00,+33.6363638,-116.1610080,-82,3D,481043.4,0.0,,0,0,0.01,263.7,39,602,7,35,-282,3,9.0,9,2.40,-0.35,0.009,1.006,-0.413,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.41,,,,,,,PFT,,,,,,,,,,,,-10.8,31.5,1929,,,,040007FF D98 D98 *,480117FF N100 N74,0.1,0.3,5,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:06,13:37:06,-08:00,+33.6363667,-116.1610092,-83,3D,481044.4,0.0,,0,0,0.01,263.7,35,507,7,35,-282,2,9.0,9,2.41,-0.31,0.006,0.997,-0.396,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.42,,,,,,,PFT,,,,,,,,,,,,-10.8,31.4,1928,,,,040007FF D98 D98 *,480117FF N100 N77,0.1,0.3,7,6,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:07,13:37:07,-08:00,+33.6363701,-116.1610100,-83,3D,481045.4,0.0,,0,0,0.00,263.7,33,441,7,35,-282,2,9.0,9,2.42,-0.34,0.007,1.004,-0.397,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,PFT,,,,,,,,,,,,-10.8,31.4,1927,,,,040007FF D98 D98 *,480117FF N100 N80,0.1,0.3,4,5,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:08,13:37:08,-08:00,+33.6363735,-116.1610101,-83,3D,481046.4,0.0,,0,0,0.01,263.7,31,387,6,36,-282,3,8.8,9,2.43,-0.31,0.006,1.003,-0.410,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.44,,,,,,,PFT,,,,,,,,,,,,-10.8,31.4,1926,,,,040007FF D98 D98 *,480117FF N100 N84,0.1,0.3,4,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:09,13:37:09,-08:00,+33.6363763,-116.1610086,-85,3D,481047.4,0.0,,0,0,0.01,263.8,29,344,6,35,-282,4,8.6,9,2.42,-0.31,0.005,1.002,-0.417,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.44,,,,,,,PFT,,,,,,,,,,,,-10.8,31.4,1925,,,,040007FF D98 D98 *,480117FF N100 N87,0.1,0.3,3,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:10,13:37:10,-08:00,+33.6363786,-116.1610074,-86,3D,481048.4,0.0,,0,0,0.01,263.7,28,311,6,35,-282,2,8.6,9,2.41,-0.34,0.005,1.002,-0.422,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,PFT,,,,,,,,,,,,-10.8,31.4,1924,,,,040007FF N0 N0 *,480117FF N100 N91,0.1,0.3,3,2,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:11,13:37:11,-08:00,+33.6363806,-116.1610061,-87,3D,481049.4,0.0,,0,0,0.00,263.7,26,282,6,35,-282,-0,8.6,9,2.41,-0.33,0.005,1.002,-0.417,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,,,,,,,,,,,,,-10.8,31.4,1924,,,,040007FF N4 N4 *,480117FF N100 N94,0.1,0.3,2,2,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:12,13:37:12,-08:00,+33.6363827,-116.1610053,-89,3D,481050.4,0.0,,0,0,0.01,263.7,25,259,6,35,-282,-3,8.7,9,2.42,-0.32,0.005,1.002,-0.412,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,,,,,,,,,,,,,-10.8,31.4,1923,,,,040007FF N8 N8 *,480117FF N100 N98,0.1,0.3,3,2,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:13,13:37:13,-08:00,+33.6363849,-116.1610052,-90,3D,481051.4,0.0,,0,0,0.00,263.7,24,240,6,35,-282,-2,8.8,9,2.43,-0.32,0.006,1.002,-0.404,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,,,,,,,,,,,,,-10.8,31.4,1922,,,,040007FF N12 N12 *,480117FF N100 N100,0.1,0.3,2,4,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:14,13:37:14,-08:00,+33.6363863,-116.1610058,-91,3D,481052.3,0.0,,0,0,0.01,263.7,24,223,6,35,-282,-2,8.9,9,2.40,-0.31,0.005,1.002,-0.394,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,,,,,,,,,,,,,-10.8,31.4,1921,,,,040007FF N16 N16 *,480117FF N100 N100,0.1,0.4,3,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:15,13:37:15,-08:00,+33.6363866,-116.1610068,-92,3D,481053.4,0.0,,0,0,0.00,263.8,23,208,6,35,-282,-1,8.9,9,2.40,-0.35,0.015,0.999,-0.383,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.42,,,,,,,,,,,,,,,,,,,-10.8,31.4,1921,,,,040007FF N20 N20 *,480117FF N100 N100,0.1,0.3,5,3,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:16,13:37:16,-08:00,+33.6363868,-116.1610074,-93,3D,481054.4,0.0,,0,0,0.01,263.7,22,196,6,35,-282,-1,8.9,9,2.40,-0.36,0.004,1.001,-0.417,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.42,,,,,,,,,,,,,,,,,,,-10.8,31.4,1920,,,,040007FF N24 N24 *,480117FF N100 N100,0.1,0.3,10,11,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:17,13:37:17,-08:00,+33.6363873,-116.1610083,-94,3D,481055.4,0.0,,0,0,0.00,263.8,22,185,6,35,-282,1,8.9,9,2.39,-0.33,0.004,1.000,-0.475,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.43,,,,,,,,,,,,,,,,,,,-10.8,31.4,1919,,,,040007FF N28 N28 *,480117FF N100 N100,0.1,0.3,10,8,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:18,13:37:18,-08:00,+33.6363876,-116.1610090,-96,3D,481056.4,0.0,,0,0,0.01,263.7,21,175,6,35,-282,1,8.9,9,2.49,-0.36,0.010,0.997,-0.543,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,163,167,,-0.44,,,,,,,,,,,,,,,,,,,-10.8,31.4,1918,,,,040007FF N32 N32 *,480117FF N100 N100,0.1,0.3,13,19,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
2026-07-10,05:37:19,13:37:19,-08:00,+33.6363882,-116.1610090,-97,3D,481057.4,0.0,,0,0,0.01,263.8,21,166,6,35,-282,-0,8.7,9,2.41,-0.27,0.001,1.004,-0.618,,169,,,,29.58,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.45,,,,,,,,,,,,,,,,,,,-10.8,31.4,1918,,,,040007FF N32 N32 *,480117FF N100 N100,0.1,0.4,16,14,,1200,ALT,29.7,0,2,92,14,0.0,0.2,-8,,93,13.0,-9,80,80,OIL PRESS / TRAFFIC FAIL / SET BARO,
