#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="723.1",engine_hours="401.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-11,15:02:55,23:02:55,-08:00,+33.6364232,-116.1613473,89,3D-,601393.4,0.0,,0,0,-0.05,,133,530,7,67,-73,1,11.1,12,,,-0.009,1.001,-0.309,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A37 A37 *,080197FF N24 D62,,,3,3,,1200,ALT,29.8,0,2,109,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:02:56,23:02:56,-08:00,+33.6364226,-116.1613539,86,3D-,601394.1,0.0,,0,0,-0.04,,126,451,7,67,-73,1,11.1,12,,,-0.010,1.001,-0.310,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A40 A40 *,080197FF N27 D67,,,4,2,,1200,ALT,29.8,0,2,109,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:02:57,23:02:57,-08:00,+33.6364255,-116.1613616,82,3D-,601395.1,0.0,,0,0,-0.04,,116,365,7,67,-73,3,11.0,11,,,-0.009,1.002,-0.319,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A42 A42 *,080197FF N31 D79,,,2,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:02:58,23:02:58,-08:00,+33.6364286,-116.1613713,77,3D-,601396.1,0.0,,0,0,-0.03,,108,309,7,67,-73,-1,11.0,11,,,-0.009,1.002,-0.318,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A45 A45 *,080197FF N35 D88,,,3,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:02:59,23:02:59,-08:00,+33.6364419,-116.1613768,73,3D-,601397.1,0.0,,0,0,-0.02,,101,272,7,67,-73,-3,11.0,12,,,-0.010,1.002,-0.322,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A48 A48 *,080197FF N39 D98,,,2,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:03:00,23:03:00,-08:00,+33.6364466,-116.1613842,69,3D-,601398.1,0.0,,0,0,-0.02,,93,243,7,66,-74,-7,11.1,12,,,-0.009,1.001,-0.311,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2996,,,,081101F8 A51 A51 *,080197FF N43 D99,,,3,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:03:01,23:03:01,-08:00,+33.6364566,-116.1613896,65,3D-,601399.1,0.0,,0,0,-0.02,,87,221,8,66,-74,-10,11.1,12,,,-0.010,1.002,-0.315,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2995,,,,081101F8 A54 A54 *,080197FF N47 D99,,,2,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:03:02,23:03:02,-08:00,+33.6364296,-116.1612793,27,3D-,601400.1,0.0,,0,0,0.02,,94,2146,8,66,-74,-12,11.2,12,,,-0.008,1.001,-0.345,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2995,,,,081101F8 A57 A57 *,080197FF N51 D99,,,3,2,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
2026-07-11,15:03:03,23:03:03,-08:00,+33.6364188,-116.1612770,20,3D-,601401.1,0.0,,0,0,0.00,,98,956,8,66,-74,-11,11.1,11,,,-0.009,1.002,-0.388,,172,,,,29.77,123.000,121.500,116.200,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.9,2995,,,,081101F8 A61 A61 *,080197FF N55 D99,,,3,11,,1200,ALT,29.8,0,2,110,14,0.0,0.2,5,124,124,13.1,-6,110,110,OIL PRESS,
