#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="688.1",engine_hours="384.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-06-12,07:32:57,15:32:57,-08:00,+33.6365367,-116.1607818,-16,3D-,487994.8,19.3,76,10,2,0.49,,49,489,8,39,-138,3,10.7,11,,,0.008,0.998,-0.656,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.47,,,,,,,Powerup,,,,,,,,,,,,-10.8,34.0,2210,,,,081101F8 A38 A38 *,080197FF N25 D64,,,11,15,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:32:57,15:32:57,-08:00,+33.6365537,-116.1607546,-9,3D-,487995.4,19.6,77,10,2,0.47,,49,466,8,39,-138,3,10.7,11,,,0.007,1.000,-0.647,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.47,,,,,,,Powerup,,,,,,,,,,,,-10.8,34.0,2210,,,,081101F8 A40 A40 *,080197FF N27 D67,,,15,24,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:32:58,15:32:58,-08:00,+33.6365688,-116.1607006,2,3D-,487996.3,20.2,77,10,2,0.46,,47,421,9,39,-138,5,10.8,11,,,0.007,1.001,-0.624,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2210,,,,081101F8 A43 A43 *,080197FF N31 D76,,,3,8,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:32:59,15:32:59,-08:00,+33.6365866,-116.1606481,11,3D-,487997.4,20.3,77,10,2,0.45,,46,409,9,39,-138,3,10.8,11,,,0.006,1.001,-0.598,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.47,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2210,,,,081101F8 A46 A46 *,080197FF N35 D88,,,3,2,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:33:00,15:33:00,-08:00,+33.6366058,-116.1605953,17,3D-,487998.4,20.2,77,10,2,0.44,,45,394,9,39,-138,2,10.8,11,,,0.006,1.001,-0.577,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2210,,,,081101F8 A49 A49 *,080197FF N39 D98,,,3,2,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:33:01,15:33:01,-08:00,+33.6365809,-116.1605758,-0,3D-,487999.3,20.2,77,10,2,0.44,,40,349,9,39,-138,2,10.9,11,,,0.007,1.000,-0.572,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2211,,,,081101F8 A52 A52 *,080197FF N43 D99,,,3,2,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:33:02,15:33:02,-08:00,+33.6365851,-116.1604898,6,3D-,488000.4,19.5,77,10,2,0.46,,39,340,9,39,-138,2,10.8,11,,,0.007,1.000,-0.572,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2211,,,,081101F8 A55 A55 *,080197FF N47 D99,,,14,14,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:33:03,15:33:03,-08:00,+33.6365834,-116.1604023,11,3D-,488001.3,19.8,77,10,2,0.44,,39,333,9,39,-138,5,10.8,11,,,0.006,1.001,-0.564,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2211,,,,081101F8 A58 A58 *,080197FF N51 D99,,,6,10,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,285,OIL PRESS,
2026-06-12,07:33:04,15:33:04,-08:00,+33.6365832,-116.1603202,17,3D-,488002.4,19.8,77,10,2,0.43,,38,325,9,39,-138,2,10.8,11,,,0.006,1.000,-0.560,,257,,,,29.73,123.000,121.500,116.200,VOR2,,TRM,,162,167,,-0.48,,,,,,,PFT,,,,,,,,,,,,-10.8,34.0,2211,,,,081101F8 A61 A61 *,080197FF N55 D99,,,11,14,,1200,ALT,29.4,0,1,164,10,0.0,0.8,3,182,175,13.1,-6,275,280,OIL PRESS,
